SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Black Isle Fortrose and Avoch",330,0,0,0,0,264,0,0,0,0,0,263,0,0,0,0,332,0,0,0,0,0,118,145,62,0,0,91,18,3,0,47,41,9,1,0,57,16,0,0,0,0,2,1,12,0,14,9,7,4,594,718,274,183,79,
"Black Isle North",230,0,0,0,0,214,0,0,0,0,0,241,0,0,0,0,355,0,0,0,0,0,78,134,60,0,0,128,17,1,0,35,24,3,3,0,47,6,2,1,0,0,3,2,9,0,12,15,9,6,445,688,255,167,80,
"Alness",421,0,0,0,0,630,0,0,0,0,0,233,0,0,0,0,421,0,0,0,0,0,153,201,96,0,0,106,24,4,0,126,104,25,10,0,109,18,2,0,0,3,7,23,19,0,28,15,8,3,1051,923,403,284,131,
"Invergordon",290,0,0,0,0,497,0,0,0,0,0,160,0,0,0,0,351,0,0,0,0,0,93,154,67,0,0,88,27,2,0,104,45,22,6,0,70,12,1,0,0,2,3,13,6,0,26,7,8,2,787,710,247,224,85,
"Seaboard",315,0,0,0,0,396,0,0,0,0,0,270,0,0,0,0,437,0,0,0,0,0,101,127,72,0,0,74,22,4,0,58,42,8,14,0,39,15,0,0,0,5,1,3,10,0,20,15,9,4,711,830,250,169,102,
"Tain",286,0,0,0,0,406,0,0,0,0,0,177,0,0,0,0,271,0,0,0,0,0,87,121,68,0,0,63,15,2,0,72,54,10,3,0,47,8,0,0,0,1,5,5,9,0,22,6,1,1,688,590,225,155,83,
"Sutherland South",589,0,0,0,0,524,0,0,0,0,0,401,0,0,0,0,649,0,0,0,0,0,126,156,72,0,0,128,19,2,0,60,28,14,1,0,101,15,2,0,0,2,7,8,18,0,32,31,16,2,1113,1236,332,215,96,
"Sutherland East",461,0,0,0,0,432,0,0,0,0,0,261,0,0,0,0,394,0,0,0,0,0,67,108,60,0,0,77,19,3,0,47,31,9,4,0,57,8,0,0,0,0,2,6,8,0,17,16,7,4,890,776,199,150,77,
"Caithness South",237,0,0,0,0,247,0,0,0,0,0,199,0,0,0,0,321,0,0,0,0,0,77,105,41,0,0,83,18,1,0,23,16,4,1,0,36,2,1,0,0,0,4,4,7,0,13,9,9,1,484,592,190,144,51,
"Wick South",278,0,0,0,0,526,0,0,0,0,0,120,0,0,0,0,252,0,0,0,0,0,91,103,51,0,0,73,9,1,0,59,42,19,9,0,64,6,0,0,0,0,0,4,8,0,20,1,4,0,804,515,215,137,69,
"Wick North",245,0,0,0,0,362,0,0,0,0,0,123,0,0,0,0,259,0,0,0,0,0,63,114,44,0,0,64,20,3,0,48,36,9,4,0,41,9,0,0,0,2,2,1,8,0,9,7,4,0,607,490,181,151,60,
"Caithness North East",295,0,0,0,0,298,0,0,0,0,0,233,0,0,0,0,349,0,0,0,0,0,82,120,67,0,0,89,30,3,0,35,17,6,2,0,40,4,0,0,0,3,5,0,11,0,14,8,9,4,593,673,207,165,87,
"Caithness North West",324,0,0,0,0,467,0,0,0,0,0,282,0,0,0,0,496,0,0,0,0,0,122,193,80,0,0,123,26,0,0,48,15,11,0,0,56,7,0,0,0,0,1,3,11,0,18,10,6,5,791,899,281,243,101,
"Thurso East",376,0,0,0,0,715,0,0,0,0,0,199,0,0,0,0,355,0,0,0,0,0,92,103,34,0,0,67,23,0,0,86,49,16,7,0,72,10,2,0,0,6,5,2,6,0,18,3,1,1,1092,731,220,148,48,
"Thurso West",214,0,0,0,0,299,0,0,0,0,0,123,0,0,0,0,247,0,0,0,0,0,50,114,55,0,0,57,25,0,0,29,41,9,1,0,34,9,3,0,0,0,2,2,6,0,7,9,2,0,513,441,166,152,62,
"Sutherland North and West",317,0,0,0,0,389,0,0,0,0,0,184,0,0,0,0,368,0,0,0,0,0,74,67,37,0,0,71,16,2,0,17,19,8,6,0,34,9,0,0,0,3,3,2,9,0,14,12,7,3,706,620,192,100,55,
"Kilmacolm Central",344,0,0,0,0,209,0,0,0,0,0,207,0,0,0,0,238,0,0,0,0,0,94,124,47,0,0,65,24,0,0,19,20,6,0,0,41,6,0,0,0,0,0,0,6,0,7,4,8,0,553,513,185,158,49,
"Kilmacolm, Quarriers, Greenock Upper East/Central",107,0,0,0,0,142,0,0,0,0,0,147,0,0,0,0,233,0,0,0,0,0,73,99,33,0,0,42,13,3,0,12,8,4,0,0,25,4,0,0,0,0,6,1,8,0,9,6,1,1,249,426,137,118,49,
"Inverkip and Wemyss Bay",260,0,0,0,0,289,0,0,0,0,0,294,0,0,0,0,555,0,0,0,0,0,184,320,70,0,0,203,69,7,0,26,39,8,2,0,61,16,5,0,0,4,6,21,15,0,7,14,9,2,549,947,455,432,99,
"West Braeside and West Gourock",195,0,0,0,0,115,0,0,0,0,0,210,0,0,0,0,234,0,0,0,0,0,44,82,29,0,0,73,26,0,0,8,7,0,1,0,20,3,1,0,0,0,1,4,4,0,6,5,1,3,311,478,134,117,36,
"Gourock Upper and West Central",378,0,0,0,0,429,0,0,0,0,0,191,0,0,0,0,367,0,0,0,0,0,113,170,32,0,0,99,33,2,0,52,35,16,3,0,73,13,0,0,0,1,3,4,15,0,14,6,2,3,807,695,276,227,54,
"Gourock Central and Upper East",426,0,0,0,0,554,0,0,0,0,0,156,0,0,0,0,318,0,0,0,0,0,79,101,23,0,0,101,22,2,0,53,27,5,1,0,93,12,1,0,0,2,2,6,6,0,18,7,4,2,979,642,226,141,36,
"Braeside, Branchton, Ravenscraig",197,0,0,0,0,222,0,0,0,0,0,108,0,0,0,0,235,0,0,0,0,0,73,111,51,0,0,105,35,0,0,57,60,19,6,0,89,16,0,0,0,5,3,11,10,0,15,16,6,0,419,510,268,184,69,
"Larkfield",185,0,0,0,0,287,0,0,0,0,0,81,0,0,0,0,190,0,0,0,0,0,61,112,85,0,0,93,38,2,0,75,105,47,16,0,114,46,4,0,0,9,6,13,20,0,16,6,1,0,472,486,313,209,127,
"Bow Farm, Fancy Farm and Mallard Bowl",331,0,0,0,0,545,0,0,0,0,0,122,0,0,0,0,308,0,0,0,0,0,101,152,58,0,0,152,35,5,0,122,123,29,6,0,140,34,8,0,0,4,19,15,15,0,32,14,1,2,876,728,440,239,84,
"Gourock East, Greenock West and Lyle Road",439,0,0,0,0,267,0,0,0,0,0,351,0,0,0,0,386,0,0,0,0,0,99,184,54,0,0,136,48,6,0,22,13,4,0,0,55,13,1,0,0,0,1,7,12,0,18,12,4,1,706,841,269,251,74,
"Greenock West and Central",602,0,0,0,0,881,0,0,0,0,0,197,0,0,0,0,397,0,0,0,0,0,115,120,60,0,0,104,37,3,0,103,48,19,3,0,139,21,1,0,0,3,10,3,8,0,32,12,4,1,1486,870,312,184,72,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",270,0,0,0,0,316,0,0,0,0,0,147,0,0,0,0,300,0,0,0,0,0,97,151,36,0,0,146,48,5,0,43,29,10,0,0,89,20,2,0,0,4,3,5,12,0,14,7,2,3,585,597,302,221,56,
"Greenock Upper Central",480,0,0,0,0,967,0,0,0,0,0,119,0,0,0,0,216,0,0,0,0,0,70,75,37,0,0,69,30,2,0,96,48,14,1,0,112,11,0,0,0,2,0,13,4,0,16,8,4,3,1447,561,209,134,47,
"Greenock Town Centre and East Central",591,0,0,0,0,1072,0,0,0,0,0,134,0,0,0,0,296,0,0,0,0,0,71,118,52,0,0,89,22,2,0,94,77,24,4,0,129,17,4,0,0,12,4,7,12,0,30,11,4,2,1663,692,269,181,72,
"Greenock Upper East",161,0,0,0,0,290,0,0,0,0,0,82,1,0,0,0,192,0,0,0,0,0,75,110,56,0,0,92,19,2,0,65,77,23,5,0,94,28,3,1,0,6,9,9,14,0,16,12,4,4,451,455,293,167,82,
"Greenock Lower East",220,0,0,0,0,496,0,0,0,0,0,76,0,0,0,0,265,0,0,0,0,0,113,112,38,0,0,85,26,3,0,115,55,25,7,0,81,15,5,0,0,3,7,11,4,0,12,9,2,0,716,556,284,182,54,
"Port Glasgow Upper, West and Central",458,0,0,0,0,630,0,0,0,0,0,207,0,0,0,0,361,0,0,0,0,0,138,154,69,0,0,146,43,8,0,73,65,24,4,0,107,14,0,0,0,2,4,8,24,0,37,21,5,3,1083,787,384,235,107,
"Port Glasgow Mid, East and Central",316,0,0,0,0,388,0,0,0,0,0,125,0,0,0,0,246,0,0,0,0,0,86,105,56,0,0,106,26,8,0,87,67,20,7,0,127,21,1,0,0,3,4,18,16,0,24,12,3,1,707,615,291,171,88,
"Port Glasgow Upper East",355,0,0,0,0,370,0,0,0,0,0,168,0,0,0,0,237,0,0,0,0,0,93,151,79,0,0,139,40,6,0,80,87,20,3,0,137,18,3,0,0,3,19,16,16,0,30,15,6,6,725,655,371,239,113,
"Rural South Midlothian",152,0,0,0,0,245,0,0,0,0,0,138,0,0,0,0,364,0,0,0,0,0,156,212,52,0,0,88,23,4,0,28,24,8,4,0,44,4,0,0,0,2,4,11,16,0,16,12,8,6,397,596,286,270,83,
"Penicuik Southeast",339,0,0,0,0,390,0,0,0,0,0,232,0,0,0,0,308,0,0,0,0,0,91,122,42,0,0,70,24,5,0,35,31,15,3,0,61,17,0,0,0,1,6,7,9,0,24,12,2,8,729,659,225,170,66,
"Penicuik Southwest",237,0,0,0,0,202,0,0,0,0,0,243,0,0,0,0,250,0,0,0,0,0,88,153,41,0,0,106,31,4,0,43,28,9,3,0,69,16,2,0,0,3,3,4,11,0,10,13,11,2,438,617,258,211,64,
"Penicuik East",173,0,0,0,0,175,0,0,0,0,0,112,1,0,0,0,179,0,0,0,0,0,63,88,43,0,0,72,26,3,0,41,28,7,13,0,56,14,1,0,0,3,2,4,4,0,2,9,6,3,352,395,191,133,62,
"Penicuik North",200,0,0,0,0,157,0,0,0,0,0,173,0,0,0,0,275,0,0,0,0,0,96,119,46,0,0,100,36,2,0,39,28,8,1,0,62,8,0,0,0,2,4,9,10,0,11,8,7,0,357,562,244,180,61,
"Pentland",105,0,0,0,0,248,0,0,0,0,0,140,0,0,0,0,412,0,0,0,0,0,207,287,89,0,0,77,28,1,0,56,15,3,2,0,38,7,0,0,0,2,0,13,13,0,17,11,8,0,357,668,319,336,105,
"Roslin and Bilston",216,0,0,0,0,262,0,0,0,0,0,160,0,0,0,0,280,0,0,0,0,0,105,140,65,0,0,67,25,2,0,26,28,7,3,0,50,11,1,0,0,0,3,4,17,0,21,9,4,3,478,539,225,188,93,
"Straiton",219,0,0,0,0,223,0,0,0,0,0,123,0,0,0,0,239,0,0,0,0,0,59,82,29,0,0,57,18,3,0,22,22,5,0,0,52,8,1,0,0,0,2,8,9,0,8,10,5,2,444,442,163,119,45,
"Loanhead",302,0,0,0,0,298,0,0,0,0,0,211,0,0,0,0,268,0,0,0,0,0,92,122,50,0,0,88,38,3,0,45,43,3,2,0,74,19,4,0,0,4,3,4,12,0,17,16,8,4,604,619,264,179,73,
"Poltonhall",252,0,0,0,0,281,0,0,0,0,0,197,0,0,0,0,370,0,0,0,0,0,117,144,66,0,0,133,28,7,0,55,58,19,7,0,116,25,0,0,0,2,4,11,12,0,22,19,3,3,533,762,356,205,98,
"Bonnyrigg North",444,0,0,0,0,410,0,0,0,0,0,310,0,0,0,0,419,0,0,0,0,0,146,203,72,0,0,135,47,12,0,51,34,17,6,0,88,24,5,0,0,1,3,7,16,0,28,21,8,0,854,897,369,287,106,
"Hopefield",103,0,0,0,0,229,0,0,0,0,0,96,0,0,0,0,327,0,0,0,0,0,194,363,101,0,0,75,35,11,0,25,43,10,14,0,43,8,0,3,0,0,7,8,25,0,14,2,13,5,332,509,326,428,159,
"Dalhousie",130,0,0,0,0,121,0,0,0,0,0,131,0,0,0,0,336,0,0,0,0,0,172,254,90,0,0,122,53,5,0,27,36,2,2,0,26,15,0,0,0,1,7,3,13,0,17,6,2,2,251,534,358,320,112,
"Eskbank and Newbattle",327,0,0,0,0,230,0,0,0,0,0,369,0,0,0,0,445,0,0,0,0,0,168,238,59,0,0,120,37,1,0,32,19,3,1,0,44,7,1,0,0,2,4,9,13,0,30,8,13,6,557,918,322,301,84,
"Danderhall, Shawfair and Midlothian North",241,0,0,0,0,305,0,0,0,0,0,162,0,0,0,0,502,0,0,0,0,0,209,271,87,0,0,125,38,3,0,56,47,21,3,0,76,19,2,0,0,2,9,14,11,0,16,27,10,6,546,814,433,356,112,
"Woodburn",214,0,0,0,0,379,0,0,0,0,0,160,0,0,0,0,366,0,0,0,0,0,180,230,74,0,0,107,32,3,0,70,59,22,7,0,86,22,0,0,0,8,6,7,18,0,33,18,9,3,593,723,391,308,105,
"Dalkeith",242,0,0,0,0,398,0,0,0,0,0,95,0,0,0,0,192,0,0,0,0,0,61,94,30,0,0,52,16,5,0,56,32,15,5,0,73,12,0,0,0,1,3,8,4,0,36,16,7,6,643,456,176,140,50,
"Rural North East Midlothian",181,0,0,0,0,242,0,0,0,0,0,146,0,0,0,0,358,0,0,0,0,0,143,218,88,0,0,90,28,2,0,53,29,8,5,0,50,12,0,0,0,4,13,17,16,0,20,9,12,2,423,629,296,279,117,
"Pathhead and Rural South East Midlothian",117,0,0,0,0,161,0,0,0,0,0,129,0,0,0,0,353,0,0,0,0,0,164,199,63,0,0,65,26,0,0,34,20,4,5,0,25,4,0,0,0,0,2,9,16,0,16,7,9,2,278,553,259,244,87,
"Easthouses",167,0,0,0,0,181,0,0,0,0,0,86,0,0,0,0,200,0,0,0,0,0,76,124,69,0,0,65,25,10,0,33,28,19,7,0,66,19,2,0,0,3,7,7,18,0,20,13,8,4,356,407,209,186,106,
"Mayfield",271,0,0,0,0,382,0,0,0,0,0,138,0,0,0,0,266,0,0,0,0,0,108,144,91,0,0,131,35,9,0,84,73,32,13,0,92,17,5,0,0,6,6,19,11,0,19,18,11,4,656,605,352,245,123,
"Newtongrange",310,0,0,0,0,358,0,0,0,0,0,151,0,0,0,0,365,0,0,0,0,0,94,125,39,0,0,86,37,4,0,52,42,14,8,0,102,11,4,1,0,4,9,7,19,0,21,17,11,4,668,695,260,204,74,
"North Gorebridge",178,0,0,0,0,325,0,0,0,0,0,78,0,0,0,0,260,0,0,0,0,0,133,113,72,0,0,64,36,1,0,52,51,25,15,0,55,9,2,0,0,2,13,12,9,0,13,11,6,5,503,460,282,195,102,
"Gorebridge and Birkenside",152,0,0,0,0,290,0,0,0,0,0,111,2,0,0,0,242,0,0,0,0,0,94,131,65,0,0,97,28,3,0,41,43,23,13,0,55,17,0,0,0,5,5,8,18,0,18,15,15,5,442,472,268,205,102,
"Aberlour, South Speyside and the Cabrach",369,0,0,0,0,391,0,0,0,0,0,263,0,0,0,0,466,0,0,0,0,0,98,142,65,0,0,97,31,5,0,39,26,9,7,0,58,9,0,0,0,2,8,3,12,0,22,15,7,1,758,846,253,189,88,
"Rothes and North Speyside",217,0,0,0,0,253,0,0,0,0,0,162,1,0,0,0,286,0,0,0,0,0,73,97,47,0,0,61,9,0,0,16,30,5,1,0,39,1,1,0,0,0,3,4,4,0,9,7,6,0,474,516,176,120,55,
"Rural Keith and Strathisla",183,0,0,0,0,189,0,0,0,0,0,136,0,0,0,0,330,0,0,0,0,0,61,109,44,0,0,68,29,2,0,12,20,5,0,0,30,7,0,0,0,0,2,4,17,0,9,7,8,1,376,518,171,155,65,
"Keith and Fife Keith",465,0,0,0,0,544,0,0,0,0,0,224,0,0,0,0,372,0,0,0,0,0,97,142,64,0,0,97,30,5,0,56,37,19,6,0,71,11,0,0,0,2,4,3,5,0,17,11,4,0,1009,746,261,195,82,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",350,0,0,0,0,297,0,0,0,0,0,288,0,0,0,0,482,0,0,0,0,0,82,113,56,0,0,127,34,3,0,40,33,10,3,0,64,9,0,0,0,1,2,3,4,0,23,12,6,3,647,895,265,166,68,
"Buckie Central East",303,0,0,0,0,349,0,0,0,0,0,168,0,0,0,0,307,0,0,0,0,0,87,152,52,0,0,73,18,0,0,62,33,13,1,0,61,12,0,0,0,1,7,5,4,0,13,7,2,4,652,613,217,190,63,
"Buckie West, Buckpool and Mains of Buckie",367,0,0,0,0,559,0,0,0,0,0,233,0,0,0,0,444,0,0,0,0,0,147,265,88,0,0,84,26,5,0,49,42,9,9,0,58,15,0,0,0,2,4,12,14,0,25,9,6,1,922,812,301,320,117,
"Mosstodloch, Portgordon, Urquhart and seaward",278,0,0,0,0,295,0,0,0,0,0,296,0,0,0,0,482,0,0,0,0,0,86,159,60,0,0,104,18,3,0,47,42,8,0,0,61,13,1,0,0,1,3,5,10,0,7,18,4,0,573,894,266,197,73,
"Fochabers, Aultmore, Clochan and Ordiquish",219,0,0,0,0,186,0,0,0,0,0,158,0,0,0,0,208,0,0,0,0,0,68,90,32,0,0,52,11,0,0,39,27,4,0,0,33,1,2,0,0,0,0,4,14,0,6,2,2,2,402,448,151,110,50,
"Heldon West, Miltonduff and Fogwatt to Inchberry",105,0,0,0,0,117,0,0,0,0,0,141,0,0,0,0,336,0,0,0,0,0,59,94,45,0,0,51,15,5,0,14,6,1,1,0,22,4,2,0,0,0,4,1,4,0,4,9,6,5,225,516,134,115,58,
"Lhanbryde, Troves, Pitgavney and seaward",174,0,0,0,0,244,0,0,0,0,0,130,0,0,0,0,235,0,0,0,0,0,67,79,27,0,0,37,11,0,0,39,20,7,1,0,32,5,0,0,0,0,1,1,4,0,10,5,1,0,418,449,138,99,33,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",299,0,0,0,0,633,0,0,0,0,0,144,0,0,0,0,332,0,0,0,0,0,104,136,47,0,0,60,10,1,0,99,67,16,0,0,71,11,1,0,0,5,5,5,11,0,31,9,3,2,932,684,256,168,61,
"New Elgin East and The Wards",246,0,0,0,0,590,0,0,0,0,0,155,0,0,0,0,420,0,0,0,0,0,175,223,85,0,0,100,20,3,0,73,75,23,10,0,75,13,0,0,0,3,7,8,17,0,26,11,4,2,836,751,381,279,115,
"New Elgin West",265,0,0,0,0,388,0,0,0,0,0,210,0,0,0,0,368,0,0,0,0,0,159,208,58,0,0,108,19,0,0,63,32,8,3,0,65,14,0,0,0,0,7,7,15,0,13,10,3,1,653,717,331,245,76,
"Elgin Central West",310,0,0,0,0,269,0,0,0,0,0,223,0,0,0,0,277,0,0,0,0,0,80,116,40,0,0,70,10,2,0,19,12,4,0,0,27,6,0,0,0,0,0,3,9,0,24,8,4,2,577,569,181,137,52,
"Elgin Bishopmill East, Ladyhill and High Street",284,0,0,0,0,512,0,0,0,0,0,116,0,0,0,0,309,0,0,0,0,0,129,123,34,0,0,68,15,4,0,34,32,10,2,0,71,13,0,0,0,1,2,4,2,0,36,6,4,4,800,569,254,155,44,
"Elgin Bishopmill West and Newfield",198,0,0,0,0,285,0,0,0,0,0,125,0,0,0,0,345,0,0,0,0,0,165,233,103,0,0,67,20,5,0,37,31,11,7,0,28,4,0,0,0,0,10,1,9,0,23,4,1,0,483,563,280,266,122,
"Lossiemouth East and Seatown",296,0,0,0,0,328,0,0,0,0,0,173,0,0,0,0,352,0,0,0,0,0,74,104,33,0,0,74,12,0,0,28,21,7,3,0,67,9,1,0,0,0,0,15,14,0,14,6,2,0,624,638,186,139,50,
"Lossiemouth West",153,0,0,0,0,320,0,0,0,0,0,96,0,0,0,0,287,0,0,0,0,0,114,153,67,0,0,65,14,0,0,51,34,11,5,0,57,1,2,0,0,4,4,7,6,0,11,6,7,1,473,506,230,193,78,
"Burghead, Roseisle and Laich",319,0,0,0,0,353,0,0,0,0,0,271,0,0,0,0,466,0,0,0,0,0,103,171,76,0,0,132,33,4,0,36,25,10,5,0,47,4,0,0,0,1,2,5,11,0,14,17,5,2,672,836,283,220,98,
"Kinloss, Alves and Pluscarden Valley",80,0,0,0,0,199,0,0,0,0,0,90,0,0,0,0,222,0,0,0,0,0,81,123,65,0,0,31,24,0,0,32,31,7,1,0,23,5,0,0,0,3,1,10,8,0,14,3,1,4,279,388,152,161,78,
"Forres Central East",577,0,0,0,0,509,0,0,0,0,0,261,0,0,0,0,304,0,0,0,0,0,76,108,39,0,0,74,21,4,0,50,16,3,3,0,60,3,2,0,0,0,4,4,6,0,24,6,7,0,1086,696,179,138,54,
"Forres South West, Pilmuir and Mannachie",417,0,0,0,0,504,0,0,0,0,0,246,0,0,0,0,566,0,0,0,0,0,176,238,95,0,0,123,41,4,0,94,58,28,10,0,93,16,2,0,0,7,6,8,8,0,42,11,4,1,921,1048,393,323,117,
"Findhorn, Rafford, Dallas, Dyke to Dava",276,0,0,0,0,270,0,0,0,0,0,218,0,0,0,0,446,0,0,0,0,0,81,123,39,0,0,77,25,0,0,14,11,4,3,0,28,7,1,0,0,2,4,6,21,0,28,19,4,4,546,736,196,165,68,
"Barra and South Uist",284,0,0,0,0,338,0,0,0,0,0,131,0,0,0,0,234,0,0,0,0,0,65,88,70,0,0,65,12,1,0,40,23,10,4,0,51,9,2,0,0,0,3,6,9,0,12,17,5,2,621,472,175,123,86,
"Benbecula and North Uist",239,0,0,0,0,341,0,0,0,0,0,125,0,0,0,0,218,0,0,0,0,0,51,99,48,0,0,73,22,0,0,20,16,4,1,0,51,8,1,0,0,0,3,2,15,0,19,14,7,3,581,444,165,133,68,
"South Lewis",480,0,0,0,0,444,0,0,0,0,0,215,0,0,0,0,395,0,0,0,0,0,85,125,71,0,0,92,26,3,0,21,14,3,2,0,94,17,0,0,0,0,5,9,3,0,29,17,4,1,924,750,233,167,80,
"Northwest Lewis",366,0,0,0,0,362,0,0,0,0,0,199,0,0,0,0,329,0,0,0,0,0,67,114,65,0,0,104,26,3,0,24,21,8,2,0,78,9,4,0,0,0,5,8,7,0,30,15,7,5,724,659,224,166,85,
"Broadbay",238,0,0,0,0,251,0,0,0,0,0,135,0,0,0,0,252,0,0,0,0,0,89,166,73,0,0,94,32,4,0,40,24,9,2,0,58,13,2,0,0,0,2,4,13,0,19,15,3,1,489,501,237,212,94,
"Stornoway West",337,0,0,0,0,516,0,0,0,0,0,97,0,0,0,0,209,0,0,0,0,0,59,92,37,0,0,56,16,0,0,42,15,6,0,0,71,10,0,0,0,6,2,2,8,0,17,3,4,1,853,440,145,112,45,
"Stornoway East",260,0,0,0,0,364,0,0,0,0,0,129,0,0,0,0,197,0,0,0,0,0,68,80,35,0,0,63,14,0,0,38,15,7,2,0,60,5,2,0,0,2,6,2,2,0,13,5,3,1,620,440,162,109,45,
"Point to Sandwick",192,0,0,0,0,275,0,0,0,0,0,141,0,0,0,0,231,0,0,0,0,0,66,112,39,0,0,81,19,1,0,40,26,5,0,0,52,5,0,0,0,4,4,3,9,0,7,5,1,2,465,473,186,143,54,
"Arran",487,0,0,0,0,376,0,0,0,0,0,341,0,0,0,0,427,0,0,0,0,0,91,131,55,0,0,95,26,4,0,23,19,11,3,0,63,11,0,0,0,0,5,13,18,0,21,23,12,9,863,881,244,194,91,
"Springside and Rural",167,0,0,0,0,221,0,0,0,0,0,134,0,0,0,0,198,0,0,0,0,0,45,59,23,0,0,66,23,2,0,28,28,6,4,0,46,10,5,0,0,4,3,8,8,0,18,13,4,2,388,428,168,103,39,
"Irvine Tarryholme",226,0,0,0,0,238,0,0,0,0,0,153,0,0,0,0,270,0,0,0,0,0,80,106,35,0,0,93,27,4,0,34,20,12,0,0,38,7,1,0,0,2,5,3,8,0,8,8,6,2,464,507,216,157,55,
"Dreghorn",280,0,0,0,0,303,0,0,0,0,0,187,0,0,0,0,249,0,0,0,0,0,74,128,43,0,0,84,19,2,0,70,36,9,1,0,56,8,0,0,0,2,7,6,6,0,8,7,4,2,586,571,216,166,51,
"Irvine Broomlands",142,0,0,0,0,243,0,0,0,0,0,77,0,0,0,0,174,0,0,0,0,0,56,72,51,0,0,63,16,2,0,69,46,22,3,0,79,13,0,0,0,4,4,4,9,0,18,4,3,3,383,424,178,116,66,
"Irvine Bourtreehill",159,0,0,0,0,195,0,0,0,0,0,59,0,0,0,0,130,0,0,0,0,0,59,96,40,0,0,41,13,1,0,47,42,24,12,0,53,13,2,0,0,4,2,5,11,0,6,6,0,0,357,299,159,141,62,
"Irvine Girdle Toll and Staneca",294,0,0,0,0,412,0,0,0,0,0,170,0,0,0,0,360,0,0,0,0,0,108,125,25,0,0,88,17,2,0,72,70,8,6,0,68,13,2,0,0,1,3,5,7,0,14,9,5,0,706,687,290,164,42,
"Irvine Perceton and Lawthorn",275,0,0,0,0,327,0,0,0,0,0,226,0,0,0,0,499,0,0,0,0,0,186,263,58,0,0,188,50,7,0,56,50,9,1,0,85,16,3,0,0,6,3,6,11,0,8,6,7,1,600,884,448,338,78,
"Irvine Castlepark North",171,0,0,0,0,333,0,0,0,0,0,134,1,0,0,0,226,0,0,0,0,0,85,99,61,0,0,69,16,2,0,75,73,28,9,0,71,10,2,0,0,3,6,11,21,0,24,15,7,2,504,530,263,162,98,
"Irvine Castlepark South",188,0,0,0,0,386,0,0,0,0,0,62,0,0,0,0,194,0,0,0,0,0,75,102,48,0,0,86,19,4,0,111,74,28,6,0,109,13,3,0,0,6,11,6,7,0,11,14,6,1,577,487,271,164,68,
"Irvine East",264,0,0,0,0,357,0,0,0,0,0,103,0,0,0,0,242,0,0,0,0,0,60,83,28,0,0,80,29,2,0,71,38,10,4,0,63,6,1,0,0,0,11,8,8,0,13,11,3,1,621,485,210,134,44,
"Irvine Central",356,0,0,0,0,438,0,0,0,0,0,166,0,0,0,0,236,0,0,0,0,0,48,74,45,0,0,74,15,0,0,69,41,20,2,0,55,15,0,0,0,1,4,7,1,0,8,8,3,1,794,537,191,121,51,
"Irvine Fullarton",230,0,0,0,0,504,0,0,0,0,0,88,0,0,0,0,161,0,0,0,0,0,27,28,25,0,0,47,12,0,0,53,39,16,12,0,63,8,0,0,0,2,6,3,3,0,29,6,3,0,734,393,136,62,37,
"Stevenston Ardeer",169,0,0,0,0,311,0,0,0,0,0,67,0,0,0,0,187,0,0,0,0,0,72,130,50,0,0,52,16,6,0,52,40,10,16,0,43,12,1,0,0,2,10,4,6,0,12,8,5,0,479,361,192,168,74,
"Saltcoats Central",391,0,0,0,0,681,0,0,0,0,0,119,0,0,0,0,228,0,0,0,0,0,60,66,35,0,0,61,12,2,0,84,59,14,5,0,72,12,1,0,0,0,6,11,7,0,10,16,5,7,1074,514,219,109,56,
"Ardrossan Central",313,0,0,0,0,693,0,0,0,0,0,88,0,0,0,0,177,0,0,0,0,0,42,51,27,0,0,63,10,0,0,55,33,10,3,0,69,10,0,0,0,7,0,3,13,0,8,10,1,3,1006,405,162,77,43,
"Ardrossan North West",262,0,0,0,0,341,0,0,0,0,0,219,0,0,0,0,311,0,0,0,0,0,75,100,25,0,0,77,23,0,0,43,23,3,0,0,60,4,0,0,0,0,6,3,4,0,8,9,8,2,607,641,188,123,31,
