"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Galashiels South",177,149,7,0,1,137,155,14,0,0,14,153,53,5,0,17,109,99,21,0,12,64,117,17,6,1,17,22,20,8,24,31,6,1,1,6,16,13,1,1,2,6,1,5,1,3,12,7,4,2,394,714,344,74,22,
"Galashiels Langlee",122,82,0,0,0,205,148,20,0,0,8,47,18,1,0,27,78,54,6,0,32,70,37,8,4,8,14,20,7,6,52,40,6,2,0,27,15,15,2,0,0,5,5,3,0,0,14,5,1,0,481,509,183,30,5,
"Tweedbank and Galashiels Melrose Gait",57,81,3,0,0,38,162,7,1,0,7,72,38,2,0,13,109,141,23,3,8,116,164,26,6,3,16,28,31,13,16,61,12,5,0,8,27,18,2,2,1,12,8,2,1,2,10,6,2,1,156,667,422,92,27,
"Melrose Darnick Gattonside and Newstead",83,211,13,2,1,58,217,15,0,8,8,146,107,6,3,5,88,147,12,6,4,54,157,30,7,0,10,40,31,13,7,35,10,2,2,8,22,8,4,0,0,9,7,4,0,1,9,7,1,1,184,802,508,91,43,
"Lauderdale",57,111,6,3,1,28,114,7,1,2,5,77,79,14,1,1,65,197,41,10,3,45,206,48,15,0,13,17,30,17,3,45,16,4,0,3,13,14,4,3,0,3,6,4,4,0,4,3,6,7,99,486,552,154,62,
"Berwickshire West",67,165,18,0,3,28,190,36,5,1,5,114,92,9,4,8,110,234,63,24,2,66,199,55,25,1,19,37,29,28,1,33,8,2,2,3,12,27,2,1,0,3,13,7,7,0,5,14,10,4,117,724,673,181,94,
"Duns",154,129,1,0,0,117,168,11,2,1,20,115,40,5,4,12,102,99,21,10,11,67,123,17,7,3,21,34,18,14,26,56,6,1,1,11,21,16,5,2,1,9,5,0,1,4,6,11,3,3,363,693,353,77,38,
"Berwickshire East",99,189,13,2,2,41,192,39,5,0,5,158,107,14,3,8,147,227,58,9,0,70,142,43,12,4,8,25,52,16,12,40,11,1,0,3,23,16,3,3,0,5,14,4,9,1,13,12,12,0,175,843,610,196,58,
"Eyemouth",152,138,3,0,0,108,157,17,2,0,19,141,24,4,0,23,120,126,19,1,14,110,120,22,5,3,21,39,23,12,46,75,9,0,2,20,29,20,1,0,2,6,15,5,1,3,10,8,5,6,392,803,377,81,29,
"Chirnside and Area",68,177,20,0,2,39,203,40,8,3,17,165,104,12,4,4,137,244,47,17,3,60,214,47,13,1,11,49,38,22,7,46,13,3,0,1,15,17,5,3,1,2,5,4,4,6,6,12,3,5,145,824,717,167,72,
"Coldstream and Area",104,161,12,0,0,79,165,25,5,2,12,157,75,10,0,5,111,145,32,9,5,40,91,24,6,3,14,16,27,7,21,36,9,1,0,6,13,11,0,0,1,4,7,3,0,4,6,13,3,1,238,703,401,112,24,
"Cheviot East",58,205,8,2,0,20,152,22,6,4,12,148,113,17,5,8,122,208,55,17,5,37,127,34,19,3,13,34,39,17,4,28,7,4,2,0,9,12,3,1,0,6,9,4,2,1,13,8,7,2,111,734,546,169,65,
"Kelso North",197,212,8,4,1,135,224,22,2,4,25,202,80,3,2,17,152,173,28,9,16,98,152,16,1,1,12,45,40,13,29,74,15,3,0,14,34,17,6,2,0,3,4,1,4,4,8,6,4,2,440,1017,526,104,36,
"Kelso South",126,140,11,0,0,108,178,19,3,0,19,118,55,3,0,13,95,98,19,4,4,41,97,20,5,0,10,23,20,8,8,34,1,3,0,11,19,12,0,2,0,4,2,0,5,0,8,6,3,0,290,649,325,71,19,
"Cheviot West",34,118,15,1,0,16,145,22,7,2,6,87,96,14,4,8,76,193,48,15,2,21,122,18,7,1,4,28,32,25,0,21,4,0,0,1,8,13,2,0,0,2,4,4,4,1,7,13,9,4,70,487,516,133,59,
"St Boswells Newtown and Area",95,208,16,6,0,64,203,17,1,1,9,136,72,8,0,20,103,190,32,13,5,68,172,33,16,3,14,30,43,20,23,71,17,3,0,11,20,25,3,2,1,2,8,3,1,3,6,12,4,2,229,826,559,130,55,
"Jedburgh",186,165,4,0,1,159,239,11,2,0,26,164,33,0,1,18,137,175,18,2,25,94,148,31,11,5,21,45,38,9,41,63,12,3,0,16,32,16,2,0,2,4,5,3,1,1,6,11,0,0,479,922,458,100,28,
"Denholm Upper Teviotdale and Liddesdale",88,205,18,6,1,35,164,25,5,4,10,146,130,19,5,10,144,271,64,18,4,44,163,40,16,0,15,40,42,31,2,39,8,2,1,8,15,16,3,3,1,5,6,7,5,1,9,13,8,7,163,783,699,197,88,
"Hawick - Burnfoot",102,64,1,1,0,114,96,7,1,0,11,46,6,2,0,23,87,53,10,2,36,108,73,11,3,8,19,20,11,5,73,77,10,0,0,28,25,9,0,0,5,13,7,0,1,3,7,7,3,0,397,544,197,38,10,
"Hawick - South East",248,184,12,4,1,325,307,28,7,0,34,168,35,1,2,36,186,152,22,4,14,79,112,22,7,2,29,36,36,9,29,43,8,3,0,13,19,16,3,0,2,3,6,2,1,10,17,4,2,1,713,1034,407,100,26,
"Hawick - South",183,126,6,3,0,168,218,16,2,2,30,137,46,5,0,18,124,131,21,7,9,65,106,13,3,3,16,32,27,13,11,40,7,4,0,7,23,8,2,0,1,1,8,0,2,2,11,10,3,4,431,756,366,81,33,
"Hawick - North",179,130,3,0,2,213,207,10,1,2,25,127,25,1,0,26,149,110,10,2,19,77,102,25,7,5,18,33,35,15,23,43,7,4,1,17,21,15,1,1,4,5,3,0,2,5,8,2,1,2,516,791,306,76,30,
"Ettrick Yarrow and Lilliesleaf Area",44,147,10,3,0,15,122,17,4,0,6,105,92,12,9,4,76,199,57,11,1,32,110,37,17,0,5,17,25,18,0,18,10,3,0,1,7,5,5,1,0,2,6,3,4,0,4,11,10,4,71,518,478,157,66,
"Selkirk",248,244,17,0,0,198,395,31,4,1,32,203,92,11,4,19,197,241,31,6,19,98,184,31,18,5,17,50,38,18,47,89,17,5,2,22,42,24,4,3,3,3,9,4,4,4,12,10,3,2,601,1301,677,131,60,
"Shetland South",95,149,12,3,0,44,203,38,5,5,7,88,68,5,2,6,104,190,34,17,3,68,216,45,16,3,11,36,42,35,12,49,11,1,2,6,15,18,5,2,0,2,12,2,8,2,4,7,8,4,180,696,608,152,89,
"Lerwick South",73,54,4,1,2,65,105,16,3,0,6,67,42,5,2,4,43,66,10,1,10,56,82,19,11,3,15,27,11,6,21,49,7,1,2,8,17,19,4,1,4,2,3,1,1,2,4,7,3,0,197,409,267,58,25,
"Lerwick North",223,172,8,0,0,315,463,45,7,3,26,132,31,0,0,44,180,149,24,4,14,114,124,22,9,3,31,42,24,9,48,75,17,2,0,15,54,23,2,1,4,4,6,4,1,15,16,20,4,1,707,1235,466,95,29,
"Central Shetland",82,126,11,0,4,85,287,24,1,0,9,77,79,7,3,5,104,186,38,7,6,69,237,56,18,4,13,29,36,22,8,72,12,5,0,7,28,26,11,2,0,5,6,5,4,3,6,8,5,7,209,780,619,165,62,
"East and West Mainland",45,109,15,1,1,18,147,24,2,4,6,37,52,8,4,4,48,121,23,8,3,42,139,44,16,1,4,22,30,15,3,21,10,4,4,3,12,12,2,4,2,3,8,3,4,1,2,4,3,2,86,421,409,120,60,
"North Mainland",38,101,8,1,0,71,170,39,5,2,6,57,29,3,1,5,64,101,30,8,10,49,132,31,9,5,17,20,30,16,7,53,7,4,0,5,19,17,8,3,0,0,5,6,0,1,5,5,0,2,160,525,357,120,40,
"North and East Isles",102,131,7,0,0,42,155,22,0,1,11,92,54,5,0,0,64,128,26,5,4,26,115,28,20,0,4,20,33,14,1,36,7,0,0,0,12,14,2,4,1,4,5,2,1,1,10,11,3,2,164,533,382,106,48,
"Carrick South",137,210,20,2,0,70,248,36,3,0,18,191,118,12,9,17,156,274,53,21,9,77,157,42,20,8,27,67,54,35,28,45,6,4,0,14,55,30,5,1,2,1,19,13,3,5,21,21,8,7,308,1036,747,199,94,
"Girvan Glendoune",165,118,6,0,0,232,155,8,0,0,22,118,17,0,0,23,118,99,13,1,32,124,113,20,4,12,24,31,21,4,60,62,7,2,0,26,46,18,2,0,5,8,6,3,1,10,5,5,1,1,590,775,309,61,11,
"Girvan Ailsa",185,147,4,1,0,129,142,11,0,0,25,123,29,4,0,17,106,88,13,5,6,54,60,8,7,4,20,30,18,8,13,18,10,0,0,8,22,13,2,1,2,4,7,1,2,6,15,7,5,1,400,653,263,52,22,
"Maybole",162,156,6,1,0,187,212,22,7,4,24,142,44,2,2,20,140,152,27,8,33,78,141,41,14,10,26,63,36,21,37,81,15,2,2,21,34,22,6,1,4,4,7,6,3,3,7,15,7,6,504,877,489,135,59,
"Carrick North",38,96,10,2,0,18,104,19,5,0,3,69,72,6,1,8,70,132,31,8,3,20,95,27,9,1,12,32,24,24,1,27,10,1,0,3,19,18,2,0,0,3,8,2,3,1,6,1,1,2,77,428,400,101,52,
"Coylton",75,140,4,0,2,40,173,19,0,2,4,111,59,5,2,10,102,177,22,7,5,52,177,50,12,3,12,35,53,22,9,66,10,0,0,2,18,25,7,1,2,6,21,6,8,2,9,4,5,2,152,690,531,150,58,
"Doonfoot and Seafield",94,257,17,3,0,23,165,14,1,1,17,180,186,14,2,5,117,241,27,6,4,63,197,46,15,1,16,54,47,15,8,54,14,1,0,2,20,34,3,1,0,5,9,3,1,1,3,8,6,0,158,880,777,151,41,
"Alloway",106,280,18,0,2,19,118,16,0,1,26,254,233,19,4,6,99,237,33,14,7,76,321,78,27,2,18,56,62,25,0,41,4,0,0,4,18,25,7,2,1,4,13,7,5,2,10,9,11,6,174,918,932,218,87,
"Castlehill and Kincaidston",97,103,2,0,0,83,107,6,0,0,25,106,37,4,0,18,87,89,10,4,16,84,104,23,7,2,25,43,24,13,43,42,9,1,1,27,31,18,6,0,4,5,10,4,1,2,11,8,1,0,315,604,326,72,23,
"Belmont",177,121,4,0,0,189,183,20,3,1,24,114,26,3,0,20,151,115,12,3,17,92,122,25,7,10,26,42,19,10,24,82,8,2,0,18,38,23,5,0,3,10,7,2,0,8,10,15,6,0,490,827,380,74,30,
"Holmston and Forehill",251,231,4,2,0,104,206,18,3,0,27,220,73,10,0,13,183,212,23,2,13,106,243,46,13,11,38,74,60,20,33,121,24,1,0,23,43,41,6,0,5,18,7,9,0,0,11,17,5,5,481,1173,715,164,43,
"Ayr South Harbour and Town Centre",350,335,5,3,1,325,388,28,5,2,51,209,133,8,0,44,214,169,20,8,24,108,148,27,7,5,27,62,42,15,21,49,8,1,0,26,47,17,2,0,3,5,12,3,0,17,32,8,4,4,863,1411,592,114,32,
"Ayr North Harbour, Wallacetown and Newton South",311,126,1,0,0,710,380,19,1,0,28,70,10,1,0,99,148,62,8,2,49,62,44,3,4,7,25,33,10,6,101,61,9,0,0,42,23,14,0,0,8,8,3,1,2,24,27,11,3,2,1376,934,202,29,15,
"Craigie",101,60,3,0,0,122,124,17,0,0,13,47,14,1,0,20,78,71,4,1,7,57,81,10,1,1,27,27,17,0,21,41,5,0,0,19,25,17,1,0,4,7,3,2,1,2,7,1,3,0,308,475,240,37,7,
"Dalmilling",86,50,0,0,0,140,119,5,1,1,15,51,3,2,0,18,86,50,6,0,20,67,66,16,0,11,29,36,21,3,67,70,14,5,0,29,35,11,1,0,10,14,22,2,2,8,12,8,4,2,403,528,221,58,10,
"Lochside, Braehead and Whitletts",160,86,3,0,0,325,213,12,2,4,12,71,13,2,0,50,117,49,9,2,41,101,83,22,1,15,32,38,28,4,142,74,13,3,0,69,44,18,14,0,9,19,8,1,2,23,17,10,4,2,846,774,252,82,12,
"Newton North",195,159,4,0,0,143,250,22,3,0,21,127,30,1,2,30,160,117,12,3,15,91,149,25,5,7,22,40,29,12,25,64,9,0,0,24,26,27,2,0,0,11,5,3,2,4,11,9,0,1,467,923,412,77,22,
"Heathfield",145,132,4,0,1,145,227,29,2,2,23,98,33,0,0,18,108,141,16,1,7,79,156,31,12,5,17,44,35,11,35,72,10,7,0,13,18,24,7,1,2,5,13,5,4,2,5,7,4,2,391,762,460,107,31,
"Prestwick West",227,269,3,0,0,129,251,10,2,0,28,198,101,7,1,20,171,231,23,6,10,92,199,34,13,7,26,65,48,12,18,35,8,1,0,20,25,16,4,2,1,4,8,4,1,6,8,12,6,0,471,1082,654,128,38,
"Prestwick East",220,274,8,0,0,102,267,17,0,0,37,203,101,5,1,15,189,222,28,6,19,101,208,38,11,8,33,64,63,19,23,54,7,1,2,20,51,31,4,1,0,4,14,6,4,6,11,7,8,2,453,1190,681,152,49,
"Prestwick Airport and Monkton",145,171,4,1,1,71,170,25,2,2,16,133,59,6,0,11,112,177,33,7,5,57,194,41,18,3,26,35,55,15,15,46,10,2,0,5,24,11,3,1,2,4,5,1,1,0,8,13,3,3,275,745,532,147,43,
"Annbank, Mossblown and Tarbolton",189,160,8,0,1,172,293,36,4,2,25,161,45,3,0,34,174,216,33,7,20,117,211,54,19,10,40,64,71,21,58,114,20,3,1,30,47,37,3,1,5,17,17,9,9,6,14,10,10,3,547,1135,667,191,60,
"Dundonald, Loans and Symington",115,173,9,0,2,70,195,17,4,2,18,141,91,16,2,7,112,242,46,8,19,90,226,57,10,5,24,41,43,29,20,74,14,1,0,17,36,31,5,3,1,4,6,12,7,2,10,16,7,4,270,853,696,187,66,
"Muirhead",95,108,5,0,1,40,109,10,3,0,19,123,45,3,0,12,84,101,9,0,11,66,123,19,10,3,19,42,35,17,17,62,7,0,0,6,27,13,3,0,1,2,4,0,0,7,4,3,1,1,209,607,354,72,32,
"Barassie Bank",38,96,4,0,0,29,124,11,2,1,1,121,50,0,0,5,116,175,18,2,4,57,254,37,7,4,20,38,34,9,9,45,14,2,0,4,18,15,6,0,2,2,9,3,1,3,2,5,2,0,100,601,575,103,19,
"Barassie",257,245,6,0,1,220,296,19,1,0,45,156,61,2,1,24,126,160,20,3,11,73,122,22,7,4,33,36,26,15,32,85,16,0,0,24,38,22,4,0,0,8,7,4,1,3,7,10,4,2,620,1071,457,90,31,
"Troon",227,316,17,2,0,160,271,30,2,1,34,205,166,12,4,18,151,189,41,4,5,71,160,46,8,2,24,49,44,18,12,44,14,1,0,19,24,30,3,0,0,4,9,6,3,4,11,8,2,5,478,1114,674,161,47,
"Clydesdale South",43,86,12,0,0,41,130,25,2,4,3,61,57,6,0,1,99,141,39,14,1,29,98,23,13,2,13,27,27,17,2,27,12,0,0,1,16,20,5,1,0,6,2,6,5,0,8,10,2,5,93,474,402,112,60,
"Biggar, Symington, Thankerton and Dolphinton",173,255,22,0,2,83,286,28,6,1,14,197,109,16,2,12,175,348,70,25,4,94,272,78,23,3,21,42,68,37,17,83,12,3,0,7,32,33,13,2,1,5,9,5,12,4,16,16,5,1,317,1156,888,264,105,
"Carstairs, Carstairs Junction and Carnwath",119,152,4,3,0,118,267,27,6,1,10,103,62,1,1,14,124,228,39,16,8,77,227,57,22,1,23,54,55,38,30,71,13,0,0,10,39,33,6,1,0,4,13,7,2,1,12,12,2,1,315,879,672,183,85,
"Forth, Braehead and Auchengray",118,126,8,2,1,85,161,14,4,2,15,101,33,1,1,7,99,160,36,12,9,69,140,35,13,2,17,45,67,25,11,57,12,2,1,10,33,21,6,2,1,9,5,4,5,3,7,10,8,6,261,679,449,162,67,
"Law",83,115,7,0,0,59,168,10,3,2,6,100,47,3,0,6,101,198,28,1,3,50,190,39,13,5,11,47,52,19,11,56,8,1,1,9,28,20,7,3,0,5,6,6,3,6,5,13,4,1,189,640,548,146,47,
"Carluke West",95,101,7,1,0,48,158,10,3,0,15,109,62,0,0,4,112,149,13,5,2,45,167,30,12,3,20,42,37,15,6,29,4,0,0,2,11,20,5,0,1,2,4,3,1,3,5,7,0,1,174,597,470,95,42,
"Carluke North",130,107,1,0,1,127,146,14,2,1,15,77,26,5,0,7,69,65,5,0,14,56,66,12,3,5,19,27,25,7,25,42,5,1,0,12,24,12,1,1,2,4,6,2,3,2,6,7,2,2,339,555,226,53,25,
"Carluke East",112,110,4,1,1,146,201,17,0,0,15,101,30,3,0,20,118,153,23,3,14,76,225,35,9,4,31,44,39,18,35,76,15,3,1,26,27,34,5,0,5,8,5,6,2,2,7,7,4,2,379,755,532,120,37,
"Carluke South",101,151,7,3,1,70,168,16,6,0,16,129,47,3,1,12,109,134,12,3,5,66,151,26,7,3,32,39,29,8,21,58,10,3,0,13,32,32,6,0,1,5,12,4,1,6,9,9,5,1,248,761,449,89,24,
"Crossford, Braidwood and Yieldshields",53,88,6,1,0,33,126,19,2,2,10,76,61,7,1,2,75,161,29,9,5,41,205,31,16,3,12,26,48,27,14,44,8,0,0,5,20,15,8,0,0,7,11,0,4,1,4,6,4,3,126,494,519,133,66,
"Lanark North West",129,134,4,1,0,92,119,9,0,0,10,119,53,3,1,9,84,101,13,3,5,58,100,13,10,1,13,29,28,13,8,34,6,1,0,4,15,13,4,1,0,3,4,2,1,4,3,7,1,1,262,581,326,63,32,
"Lanark North East",96,91,3,0,0,118,151,11,0,1,13,71,16,1,1,9,82,85,5,4,4,59,75,21,5,6,12,33,16,2,23,39,12,0,0,13,31,17,2,0,0,7,4,2,1,6,7,3,1,1,289,549,256,43,15,
"Lanark South",176,116,5,0,0,169,192,9,1,1,18,91,44,6,0,27,123,167,21,4,12,66,167,27,8,4,19,50,31,13,36,58,12,0,0,19,31,17,5,0,0,4,12,4,4,6,14,8,5,1,467,713,492,101,31,
"Hazelbank and Kirkfieldbank",69,121,11,1,2,78,159,30,1,3,6,121,88,9,1,9,89,235,39,13,8,39,166,41,23,0,15,47,52,38,20,42,1,2,1,9,31,25,4,1,0,4,7,8,6,3,13,8,6,6,206,638,620,166,91,
"Douglas, Coalburn and Rigside",190,144,8,0,0,147,201,25,5,1,33,143,29,1,1,30,129,119,22,9,14,83,132,25,9,4,27,40,67,13,43,67,15,0,1,32,47,30,10,1,7,9,8,7,3,13,19,18,4,1,522,869,423,142,43,
"Lesmahagow",136,118,8,3,1,138,178,21,0,1,19,95,30,0,3,16,87,144,20,1,13,71,140,41,14,7,21,40,36,22,44,52,14,4,0,20,24,24,4,1,4,5,5,3,1,5,9,12,3,1,407,660,434,113,46,
"Kirkmuirhill and Blackwood",109,125,6,0,0,100,197,20,3,2,18,135,47,2,0,8,111,173,34,5,14,91,204,50,11,1,26,47,69,25,24,68,19,4,1,7,25,27,1,3,2,3,13,3,6,2,14,13,4,0,286,794,572,173,55,
"Ashgill, Netherburn, Quarter and Glassford",110,143,2,2,0,102,222,18,3,2,14,108,68,10,1,9,120,272,39,10,10,102,274,59,19,7,27,64,68,42,35,70,13,1,0,4,34,42,11,1,4,6,14,17,8,5,12,17,8,6,300,841,788,218,91,
"Merryton and Meadowhill",132,107,3,1,0,69,131,18,0,0,14,97,23,1,0,17,106,139,13,7,5,67,127,23,6,8,24,37,37,13,19,55,9,0,0,15,38,21,1,0,0,2,3,5,0,2,7,7,2,3,281,635,388,84,33,
"Larkhall Central, Raploch, Millheugh and Burnhead",199,140,2,1,0,140,211,14,0,3,23,137,43,4,1,19,131,146,16,6,10,73,129,24,10,10,34,55,51,15,36,48,15,1,0,15,22,31,6,0,3,9,8,6,1,3,13,10,4,2,457,825,457,113,36,
"Hareleeshill",161,135,1,0,0,141,167,16,5,0,29,130,44,2,0,19,126,120,14,0,12,84,134,18,7,12,30,48,41,10,65,78,13,9,2,29,49,26,6,2,2,4,11,7,0,6,12,7,5,3,476,818,414,100,24,
"Strutherhill and Birkenshaw",141,81,2,1,0,196,155,15,4,1,26,75,10,3,1,26,86,66,11,2,29,91,86,20,5,18,41,54,27,8,89,92,14,5,0,38,48,20,6,0,6,18,17,3,2,6,15,7,2,2,574,705,289,81,25,
"Stonehouse",163,178,6,2,2,126,270,33,6,3,22,165,57,1,4,13,159,272,33,8,15,124,270,63,23,10,34,75,56,31,29,81,13,0,2,17,53,44,4,0,1,14,9,6,7,3,14,12,4,4,397,1092,786,175,86,
"Strathaven South",141,191,8,1,2,82,247,32,4,1,18,164,87,10,1,18,104,187,23,7,7,87,241,44,11,0,23,54,42,13,8,55,12,2,0,16,28,28,7,1,3,10,8,3,3,4,4,11,2,4,294,913,665,141,42,
"Strathaven North",64,104,3,2,0,29,80,7,2,3,17,99,55,1,0,10,59,138,23,5,1,51,216,44,12,3,10,31,37,16,7,41,8,0,0,8,20,16,6,0,3,4,0,6,5,3,6,8,1,2,144,474,483,122,47,
"Strathaven West, Chapelton, Drumclog and Sandford",44,72,12,1,1,11,90,20,5,1,6,80,75,9,4,6,70,174,49,14,0,56,278,62,26,4,11,41,39,31,6,22,10,0,4,2,12,18,8,6,0,7,11,15,11,0,1,16,9,10,82,418,651,194,104,
"Eddlewood",69,60,5,0,0,64,114,8,1,0,9,88,32,3,0,10,84,119,13,3,6,76,180,47,5,4,32,68,58,19,18,50,13,2,0,26,30,23,4,0,3,10,12,2,1,8,7,7,4,1,213,554,465,137,33,
"Low Waters",195,111,1,0,1,164,175,8,0,0,27,86,18,1,0,26,92,68,4,3,17,62,69,14,4,15,24,38,31,11,44,62,10,4,0,37,44,30,4,2,3,7,6,5,0,9,15,9,3,1,540,681,259,64,19,
"Silvertonhill",109,102,2,0,0,94,121,4,1,0,14,133,53,2,1,28,85,105,12,2,6,61,111,25,7,5,18,45,28,11,18,37,5,1,0,10,25,16,5,1,0,5,5,6,3,3,8,12,1,0,285,591,358,83,23,
"Hamilton Centre, Low Parks and Ferniegar",291,245,10,0,0,297,500,29,7,0,43,156,59,4,0,61,198,256,21,8,20,119,285,42,10,4,22,45,47,17,26,61,5,3,0,22,34,29,6,2,2,7,13,4,2,18,22,17,1,4,786,1365,752,135,42,
"Laighstonehall",169,118,5,0,0,297,331,26,1,1,21,84,23,0,0,33,110,76,11,6,27,86,89,17,4,13,29,36,26,0,42,61,9,0,1,30,44,22,4,0,4,9,11,7,1,2,11,4,1,0,636,879,303,68,12,
"Woodhead, Meikle Earnock and Fairhill",166,94,6,0,0,181,184,13,0,2,41,104,20,0,0,28,142,110,7,1,31,121,153,26,10,22,53,46,39,13,82,108,18,5,0,55,59,29,4,0,10,11,13,3,0,10,15,12,3,0,626,892,420,89,25,
"Torheads and Little Earnock",100,58,2,1,0,87,194,15,1,0,19,79,22,1,0,9,132,301,20,2,13,136,456,70,16,5,33,58,59,27,24,98,27,6,0,13,34,23,5,0,3,7,17,8,1,7,14,20,5,5,276,784,942,176,50,
"Earnock",88,138,4,0,0,35,236,25,4,1,19,176,82,7,0,7,152,300,30,2,4,87,471,70,12,4,37,76,74,26,7,81,13,5,0,6,27,25,4,2,1,7,15,10,6,0,4,7,4,6,171,942,1018,208,56,
"Hillhouse",163,83,1,0,0,243,208,11,3,0,37,55,11,0,0,36,148,101,5,2,44,105,117,39,1,14,33,34,33,4,86,106,11,1,0,37,57,23,4,0,15,19,9,4,0,17,24,9,4,3,690,838,327,90,11,
"High Blantyre",191,111,2,4,1,218,186,13,6,5,39,92,25,0,0,29,100,103,10,4,15,75,98,17,2,11,38,53,24,4,62,58,11,0,0,40,56,22,6,0,8,13,14,0,2,10,22,3,5,4,621,749,346,65,21,
"Blantyre South and Wheatlands",190,89,1,0,0,222,249,16,0,0,30,101,16,1,0,29,128,93,5,1,16,100,84,14,5,20,40,56,20,12,79,92,13,0,4,50,76,21,8,0,8,13,12,3,2,6,14,9,5,0,653,902,321,60,23,
"Low Blantyre and Bardykes",81,76,3,1,1,61,102,11,1,2,8,112,53,4,0,4,99,116,10,3,6,59,144,24,14,6,20,63,41,16,15,37,6,2,0,21,36,29,2,1,2,3,5,4,0,5,4,6,1,1,209,548,431,89,39,
"Blantyre North and Coatshill",142,82,3,0,0,120,182,14,0,1,27,90,11,0,0,27,119,63,5,3,17,68,90,19,2,13,28,31,22,7,28,52,10,0,1,19,37,16,1,0,1,3,10,0,0,12,10,9,4,0,409,674,257,54,15,
"Burnbank North",164,98,1,2,0,239,297,15,2,0,31,74,15,3,0,38,160,139,14,4,26,119,170,23,3,11,33,60,33,12,76,87,8,2,0,61,74,25,2,1,11,18,15,3,2,9,16,18,4,1,668,980,470,87,20,
"Burnbank Central and Udston",174,85,0,1,0,409,306,8,3,5,21,74,15,0,0,51,129,87,6,2,16,133,91,11,3,11,34,30,18,4,87,102,14,1,0,57,52,21,1,0,8,20,9,1,0,11,25,10,4,2,849,958,288,43,17,
"Burnbank South and Chantinghall",173,125,3,0,0,151,254,15,1,2,26,83,46,4,0,25,120,118,12,6,8,74,130,20,5,5,22,47,30,9,27,51,8,0,0,17,40,18,3,0,6,7,7,6,0,4,12,9,3,3,442,790,405,81,25,
"Whitehill",163,102,10,0,0,227,264,24,0,2,26,65,25,0,0,32,121,74,7,3,19,106,92,15,3,12,22,33,23,6,74,80,14,6,0,34,49,14,3,1,6,9,8,4,0,19,20,10,2,1,610,833,301,59,18,
"Bothwell South",136,220,6,0,0,43,217,22,1,0,20,113,125,8,4,6,105,213,27,9,6,77,204,52,28,1,14,39,68,36,5,23,12,5,2,0,16,19,4,0,0,6,6,9,5,0,9,13,3,5,219,803,665,177,90,
"Bothwell North",97,78,0,0,0,90,117,9,1,0,15,72,30,0,0,12,82,112,8,4,8,86,149,31,0,8,22,37,31,10,25,42,8,2,0,17,29,22,6,3,2,2,3,4,1,3,9,6,4,1,269,539,376,86,16,
"Uddingston and Kylepark",221,215,9,0,0,221,415,19,0,0,25,150,78,2,2,28,187,212,15,4,13,131,289,52,4,0,40,71,52,16,31,73,10,2,0,18,45,26,6,1,4,6,6,3,4,4,10,22,4,2,566,1273,746,139,35,
