SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Hawick - North",313,0,0,0,433,0,0,0,0,178,0,0,0,297,0,0,0,232,0,0,0,103,0,0,0,0,82,0,0,0,55,0,0,0,0,16,0,0,0,16,746,808,137,29,
"Ettrick Yarrow and Lilliesleaf Area",200,0,0,0,155,0,0,0,0,226,0,0,0,345,0,0,0,197,0,0,0,65,0,0,0,0,30,0,0,0,22,0,0,0,0,14,0,0,0,30,359,835,52,44,
"Selkirk",508,0,0,0,638,0,0,0,0,339,0,0,0,494,0,0,0,354,0,0,0,130,0,0,0,0,160,0,0,0,96,0,0,0,0,22,0,0,0,31,1144,1315,255,53,
"Shetland South",259,0,0,0,295,0,0,0,0,172,0,0,0,351,0,0,0,351,0,0,0,129,0,0,0,0,72,0,0,0,47,0,0,0,0,27,0,0,0,25,554,998,121,48,
"Lerwick South",133,0,0,0,187,0,0,0,0,118,0,0,0,122,0,0,0,178,0,0,0,61,0,0,0,0,80,0,0,0,45,0,0,0,0,14,0,0,0,18,319,479,125,32,
"Lerwick North",405,0,0,0,831,0,0,0,0,191,0,0,0,401,0,0,0,280,0,0,0,103,0,0,0,0,143,0,0,0,98,0,0,0,0,22,0,0,0,56,1238,974,241,78,
"Central Shetland",218,0,0,0,401,0,0,0,0,174,0,0,0,340,0,0,0,384,0,0,0,103,0,0,0,0,93,0,0,0,75,0,0,0,0,16,0,0,0,28,619,1005,166,45,
"East and West Mainland",172,0,0,0,197,0,0,0,0,105,0,0,0,201,0,0,0,243,0,0,0,72,0,0,0,0,40,0,0,0,32,0,0,0,0,21,0,0,0,13,369,621,72,34,
"North Mainland",152,0,0,0,291,0,0,0,0,96,0,0,0,211,0,0,0,223,0,0,0,85,0,0,0,0,74,0,0,0,49,0,0,0,0,12,0,0,0,13,443,615,119,25,
"North and East Isles",240,0,0,0,220,0,0,0,0,165,0,0,0,225,0,0,0,195,0,0,0,73,0,0,0,0,41,0,0,0,28,0,0,0,0,16,0,0,0,31,460,658,69,48,
"Carrick South",369,0,0,0,356,0,0,0,0,348,0,0,0,521,0,0,0,305,0,0,0,194,0,0,0,0,82,0,0,0,106,0,0,0,0,40,0,0,0,58,726,1366,188,106,
"Girvan Glendoune",289,0,0,0,396,0,0,0,0,157,0,0,0,254,0,0,0,288,0,0,0,89,0,0,0,0,134,0,0,0,91,0,0,0,0,21,0,0,0,22,685,789,225,46,
"Girvan Ailsa",337,0,0,0,282,0,0,0,0,185,0,0,0,227,0,0,0,135,0,0,0,82,0,0,0,0,41,0,0,0,49,0,0,0,0,18,0,0,0,35,619,629,89,53,
"Maybole",319,0,0,0,436,0,0,0,0,213,0,0,0,347,0,0,0,309,0,0,0,151,0,0,0,0,140,0,0,0,84,0,0,0,0,27,0,0,0,37,754,1021,224,64,
"Carrick North",150,0,0,0,147,0,0,0,0,154,0,0,0,247,0,0,0,155,0,0,0,90,0,0,0,0,41,0,0,0,42,0,0,0,0,19,0,0,0,14,297,649,83,30,
"Coylton",220,0,0,0,233,0,0,0,0,180,0,0,0,315,0,0,0,296,0,0,0,126,0,0,0,0,85,0,0,0,55,0,0,0,0,43,0,0,0,28,453,917,139,69,
"Doonfoot and Seafield",372,0,0,0,204,0,0,0,0,401,0,0,0,398,0,0,0,325,0,0,0,137,0,0,0,0,77,0,0,0,60,0,0,0,0,19,0,0,0,18,576,1257,137,37,
"Alloway",407,0,0,0,153,0,0,0,0,535,0,0,0,389,0,0,0,509,0,0,0,163,0,0,0,0,47,0,0,0,53,0,0,0,0,28,0,0,0,38,560,1598,102,66,
"Castlehill and Kincaidston",198,0,0,0,197,0,0,0,0,168,0,0,0,206,0,0,0,234,0,0,0,107,0,0,0,0,96,0,0,0,82,0,0,0,0,23,0,0,0,24,396,715,181,50,
"Belmont",299,0,0,0,396,0,0,0,0,168,0,0,0,301,0,0,0,266,0,0,0,112,0,0,0,0,115,0,0,0,84,0,0,0,0,24,0,0,0,38,696,847,199,62,
"Holmston and Forehill",488,0,0,0,330,0,0,0,0,332,0,0,0,431,0,0,0,425,0,0,0,203,0,0,0,0,177,0,0,0,116,0,0,0,0,39,0,0,0,40,822,1384,293,76,
"Ayr South Harbour and Town Centre",695,0,0,0,746,0,0,0,0,401,0,0,0,453,0,0,0,310,0,0,0,151,0,0,0,0,78,0,0,0,92,0,0,0,0,22,0,0,0,64,1442,1315,170,86,
"Ayr North Harbour, Wallacetown and Newton South",435,0,0,0,1103,0,0,0,0,112,0,0,0,319,0,0,0,166,0,0,0,79,0,0,0,0,171,0,0,0,79,0,0,0,0,21,0,0,0,69,1541,676,250,90,
"Craigie",163,0,0,0,260,0,0,0,0,78,0,0,0,177,0,0,0,158,0,0,0,73,0,0,0,0,69,0,0,0,62,0,0,0,0,16,0,0,0,15,424,483,131,32,
"Dalmilling",136,0,0,0,262,0,0,0,0,71,0,0,0,161,0,0,0,170,0,0,0,100,0,0,0,0,156,0,0,0,79,0,0,0,0,50,0,0,0,34,398,502,236,85,
"Lochside, Braehead and Whitletts",246,0,0,0,554,0,0,0,0,103,0,0,0,237,0,0,0,248,0,0,0,117,0,0,0,0,231,0,0,0,145,0,0,0,0,34,0,0,0,54,800,702,376,88,
"Newton North",358,0,0,0,422,0,0,0,0,184,0,0,0,322,0,0,0,288,0,0,0,110,0,0,0,0,92,0,0,0,83,0,0,0,0,21,0,0,0,29,779,899,179,48,
"Heathfield",282,0,0,0,400,0,0,0,0,156,0,0,0,284,0,0,0,285,0,0,0,110,0,0,0,0,127,0,0,0,62,0,0,0,0,23,0,0,0,20,682,838,189,43,
"Prestwick West",499,0,0,0,396,0,0,0,0,339,0,0,0,451,0,0,0,349,0,0,0,163,0,0,0,0,62,0,0,0,66,0,0,0,0,19,0,0,0,30,895,1301,128,48,
"Prestwick East",502,0,0,0,386,0,0,0,0,347,0,0,0,460,0,0,0,380,0,0,0,187,0,0,0,0,90,0,0,0,108,0,0,0,0,31,0,0,0,39,888,1371,196,66,
"Prestwick Airport and Monkton",322,0,0,0,271,0,0,0,0,218,0,0,0,338,0,0,0,308,0,0,0,137,0,0,0,0,73,0,0,0,44,0,0,0,0,13,0,0,0,26,597,993,117,39,
"Annbank, Mossblown and Tarbolton",358,0,0,0,507,0,0,0,0,231,0,0,0,462,0,0,0,417,0,0,0,206,0,0,0,0,196,0,0,0,119,0,0,0,0,59,0,0,0,42,865,1320,315,101,
"Dundonald, Loans and Symington",301,0,0,0,288,0,0,0,0,268,0,0,0,416,0,0,0,394,0,0,0,145,0,0,0,0,109,0,0,0,93,0,0,0,0,27,0,0,0,38,586,1223,202,65,
"Muirhead",209,0,0,0,160,0,0,0,0,192,0,0,0,206,0,0,0,227,0,0,0,114,0,0,0,0,86,0,0,0,48,0,0,0,0,12,0,0,0,16,369,739,138,28,
"Barassie Bank",135,0,0,0,166,0,0,0,0,174,0,0,0,315,0,0,0,359,0,0,0,105,0,0,0,0,69,0,0,0,43,0,0,0,0,17,0,0,0,11,305,953,112,27,
"Barassie",509,0,0,0,537,0,0,0,0,266,0,0,0,334,0,0,0,235,0,0,0,118,0,0,0,0,135,0,0,0,86,0,0,0,0,24,0,0,0,29,1046,953,221,49,
"Troon",563,0,0,0,467,0,0,0,0,422,0,0,0,395,0,0,0,291,0,0,0,136,0,0,0,0,69,0,0,0,75,0,0,0,0,24,0,0,0,32,1030,1244,144,56,
"Clydesdale South",141,0,0,0,202,0,0,0,0,126,0,0,0,295,0,0,0,163,0,0,0,84,0,0,0,0,42,0,0,0,43,0,0,0,0,22,0,0,0,24,343,668,78,49,
"Biggar, Symington, Thankerton and Dolphinton",451,0,0,0,404,0,0,0,0,338,0,0,0,628,0,0,0,467,0,0,0,171,0,0,0,0,112,0,0,0,89,0,0,0,0,32,0,0,0,42,855,1600,201,75,
"Carstairs, Carstairs Junction and Carnwath",276,0,0,0,419,0,0,0,0,181,0,0,0,424,0,0,0,393,0,0,0,172,0,0,0,0,116,0,0,0,95,0,0,0,0,31,0,0,0,30,695,1171,207,61,
"Forth, Braehead and Auchengray",255,0,0,0,265,0,0,0,0,151,0,0,0,314,0,0,0,269,0,0,0,156,0,0,0,0,83,0,0,0,70,0,0,0,0,24,0,0,0,34,520,886,153,55,
"Law",209,0,0,0,241,0,0,0,0,158,0,0,0,334,0,0,0,293,0,0,0,134,0,0,0,0,76,0,0,0,73,0,0,0,0,22,0,0,0,31,450,918,146,53,
"Carluke West",201,0,0,0,219,0,0,0,0,189,0,0,0,283,0,0,0,256,0,0,0,121,0,0,0,0,36,0,0,0,42,0,0,0,0,11,0,0,0,16,419,849,82,28,
"Carluke North",239,0,0,0,292,0,0,0,0,123,0,0,0,146,0,0,0,151,0,0,0,80,0,0,0,0,73,0,0,0,52,0,0,0,0,13,0,0,0,21,531,500,125,38,
"Carluke East",228,0,0,0,365,0,0,0,0,145,0,0,0,316,0,0,0,361,0,0,0,135,0,0,0,0,130,0,0,0,92,0,0,0,0,26,0,0,0,22,590,963,222,44,
"Carluke South",263,0,0,0,260,0,0,0,0,196,0,0,0,267,0,0,0,252,0,0,0,108,0,0,0,0,93,0,0,0,83,0,0,0,0,23,0,0,0,30,523,823,176,53,
"Crossford, Braidwood and Yieldshields",148,0,0,0,182,0,0,0,0,160,0,0,0,277,0,0,0,303,0,0,0,116,0,0,0,0,60,0,0,0,52,0,0,0,0,21,0,0,0,22,329,853,111,44,
"Lanark North West",268,0,0,0,222,0,0,0,0,191,0,0,0,210,0,0,0,186,0,0,0,80,0,0,0,0,45,0,0,0,37,0,0,0,0,9,0,0,0,16,493,667,82,25,
"Lanark North East",186,0,0,0,282,0,0,0,0,105,0,0,0,183,0,0,0,160,0,0,0,65,0,0,0,0,74,0,0,0,63,0,0,0,0,11,0,0,0,17,472,510,137,31,
"Lanark South",298,0,0,0,372,0,0,0,0,157,0,0,0,340,0,0,0,280,0,0,0,120,0,0,0,0,107,0,0,0,76,0,0,0,0,23,0,0,0,34,670,898,182,57,
"Hazelbank and Kirkfieldbank",202,0,0,0,277,0,0,0,0,229,0,0,0,385,0,0,0,279,0,0,0,148,0,0,0,0,66,0,0,0,69,0,0,0,0,25,0,0,0,40,475,1043,139,65,
"Douglas, Coalburn and Rigside",344,0,0,0,379,0,0,0,0,207,0,0,0,308,0,0,0,269,0,0,0,154,0,0,0,0,132,0,0,0,117,0,0,0,0,38,0,0,0,52,723,938,252,89,
"Lesmahagow",270,0,0,0,338,0,0,0,0,142,0,0,0,266,0,0,0,279,0,0,0,128,0,0,0,0,114,0,0,0,73,0,0,0,0,18,0,0,0,33,608,813,187,50,
"Kirkmuirhill and Blackwood",239,0,0,0,323,0,0,0,0,205,0,0,0,333,0,0,0,369,0,0,0,168,0,0,0,0,119,0,0,0,63,0,0,0,0,30,0,0,0,36,563,1075,179,61,
"Ashgill, Netherburn, Quarter and Glassford",260,0,0,0,347,0,0,0,0,201,0,0,0,450,0,0,0,465,0,0,0,205,0,0,0,0,124,0,0,0,90,0,0,0,0,49,0,0,0,45,607,1324,210,97,
"Merryton and Meadowhill",243,0,0,0,215,0,0,0,0,137,0,0,0,277,0,0,0,233,0,0,0,120,0,0,0,0,83,0,0,0,76,0,0,0,0,11,0,0,0,21,461,770,159,32,
"Larkhall Central, Raploch, Millheugh and Burnhead",346,0,0,0,368,0,0,0,0,208,0,0,0,321,0,0,0,247,0,0,0,165,0,0,0,0,104,0,0,0,73,0,0,0,0,27,0,0,0,33,714,940,177,60,
"Hareleeshill",297,0,0,0,325,0,0,0,0,205,0,0,0,280,0,0,0,252,0,0,0,141,0,0,0,0,164,0,0,0,111,0,0,0,0,24,0,0,0,36,622,877,275,60,
"Strutherhill and Birkenshaw",228,0,0,0,373,0,0,0,0,113,0,0,0,191,0,0,0,231,0,0,0,148,0,0,0,0,201,0,0,0,112,0,0,0,0,43,0,0,0,33,599,685,310,77,
"Stonehouse",350,0,0,0,438,0,0,0,0,247,0,0,0,485,0,0,0,497,0,0,0,205,0,0,0,0,125,0,0,0,120,0,0,0,0,34,0,0,0,37,788,1435,245,71,
"Strathaven South",342,0,0,0,366,0,0,0,0,277,0,0,0,337,0,0,0,390,0,0,0,133,0,0,0,0,78,0,0,0,80,0,0,0,0,30,0,0,0,25,708,1137,158,55,
"Strathaven North",169,0,0,0,120,0,0,0,0,174,0,0,0,234,0,0,0,324,0,0,0,101,0,0,0,0,60,0,0,0,50,0,0,0,0,20,0,0,0,19,289,833,106,39,
"Strathaven West, Chapelton, Drumclog and Sandford",128,0,0,0,128,0,0,0,0,170,0,0,0,315,0,0,0,422,0,0,0,126,0,0,0,0,41,0,0,0,44,0,0,0,0,42,0,0,0,36,256,1030,88,78,
"Eddlewood",132,0,0,0,187,0,0,0,0,131,0,0,0,225,0,0,0,308,0,0,0,185,0,0,0,0,83,0,0,0,87,0,0,0,0,29,0,0,0,27,319,855,170,56,
"Low Waters",310,0,0,0,348,0,0,0,0,132,0,0,0,193,0,0,0,167,0,0,0,120,0,0,0,0,119,0,0,0,116,0,0,0,0,21,0,0,0,37,658,612,235,54,
"Silvertonhill",209,0,0,0,220,0,0,0,0,203,0,0,0,232,0,0,0,210,0,0,0,107,0,0,0,0,58,0,0,0,55,0,0,0,0,19,0,0,0,23,433,752,111,39,
"Hamilton Centre, Low Parks and Ferniegar",544,0,0,0,833,0,0,0,0,258,0,0,0,544,0,0,0,485,0,0,0,139,0,0,0,0,96,0,0,0,92,0,0,0,0,28,0,0,0,65,1375,1426,188,93,
"Laighstonehall",292,0,0,0,649,0,0,0,0,124,0,0,0,230,0,0,0,218,0,0,0,107,0,0,0,0,113,0,0,0,101,0,0,0,0,32,0,0,0,21,942,685,214,52,
"Woodhead, Meikle Earnock and Fairhill",266,0,0,0,380,0,0,0,0,161,0,0,0,286,0,0,0,341,0,0,0,174,0,0,0,0,213,0,0,0,148,0,0,0,0,38,0,0,0,42,646,965,361,81,
"Torheads and Little Earnock",162,0,0,0,297,0,0,0,0,117,0,0,0,466,0,0,0,690,0,0,0,182,0,0,0,0,153,0,0,0,75,0,0,0,0,36,0,0,0,51,459,1455,228,87,
"Earnock",230,0,0,0,302,0,0,0,0,283,0,0,0,491,0,0,0,642,0,0,0,217,0,0,0,0,106,0,0,0,65,0,0,0,0,39,0,0,0,21,531,1633,171,60,
"Hillhouse",249,0,0,0,465,0,0,0,0,97,0,0,0,292,0,0,0,308,0,0,0,113,0,0,0,0,204,0,0,0,125,0,0,0,0,48,0,0,0,56,712,809,329,101,
"High Blantyre",308,0,0,0,425,0,0,0,0,156,0,0,0,245,0,0,0,204,0,0,0,122,0,0,0,0,131,0,0,0,127,0,0,0,0,36,0,0,0,44,734,733,255,76,
"Blantyre South and Wheatlands",280,0,0,0,488,0,0,0,0,148,0,0,0,256,0,0,0,219,0,0,0,146,0,0,0,0,190,0,0,0,157,0,0,0,0,37,0,0,0,38,768,769,347,75,
"Low Blantyre and Bardykes",162,0,0,0,177,0,0,0,0,171,0,0,0,232,0,0,0,248,0,0,0,147,0,0,0,0,61,0,0,0,90,0,0,0,0,13,0,0,0,17,339,798,145,30,
"Blantyre North and Coatshill",227,0,0,0,314,0,0,0,0,129,0,0,0,217,0,0,0,202,0,0,0,101,0,0,0,0,91,0,0,0,73,0,0,0,0,18,0,0,0,32,545,649,164,52,
"Burnbank North",265,0,0,0,552,0,0,0,0,123,0,0,0,359,0,0,0,345,0,0,0,145,0,0,0,0,173,0,0,0,163,0,0,0,0,55,0,0,0,48,817,973,336,99,
"Burnbank Central and Udston",260,0,0,0,731,0,0,0,0,114,0,0,0,275,0,0,0,260,0,0,0,97,0,0,0,0,208,0,0,0,131,0,0,0,0,38,0,0,0,52,991,742,336,90,
"Burnbank South and Chantinghall",303,0,0,0,424,0,0,0,0,161,0,0,0,279,0,0,0,238,0,0,0,110,0,0,0,0,88,0,0,0,78,0,0,0,0,28,0,0,0,32,725,793,166,60,
"Whitehill",272,0,0,0,517,0,0,0,0,111,0,0,0,237,0,0,0,235,0,0,0,96,0,0,0,0,174,0,0,0,100,0,0,0,0,26,0,0,0,50,789,681,274,77,
"Bothwell South",364,0,0,0,284,0,0,0,0,270,0,0,0,362,0,0,0,374,0,0,0,158,0,0,0,0,45,0,0,0,42,0,0,0,0,26,0,0,0,29,648,1164,87,52,
"Bothwell North",175,0,0,0,217,0,0,0,0,120,0,0,0,210,0,0,0,272,0,0,0,107,0,0,0,0,78,0,0,0,71,0,0,0,0,13,0,0,0,23,390,709,149,36,
"Uddingston and Kylepark",445,0,0,0,656,0,0,0,0,257,0,0,0,446,0,0,0,491,0,0,0,188,0,0,0,0,114,0,0,0,93,0,0,0,0,21,0,0,0,45,1101,1378,210,66,
"Newton",17,0,0,0,103,0,0,0,0,15,0,0,0,288,0,0,0,702,0,0,0,41,0,0,0,0,48,0,0,0,6,0,0,0,0,24,0,0,0,15,116,1047,56,39,
"Halfway, Hallside and Drumsagard",146,0,0,0,309,0,0,0,0,129,0,0,0,364,0,0,0,583,0,0,0,225,0,0,0,0,125,0,0,0,83,0,0,0,0,44,0,0,0,39,454,1296,208,83,
"Westburn",179,0,0,0,543,0,0,0,0,105,0,0,0,377,0,0,0,610,0,0,0,203,0,0,0,0,214,0,0,0,137,0,0,0,0,54,0,0,0,47,722,1295,351,101,
"Vicarland and Cairns",295,0,0,0,445,0,0,0,0,158,0,0,0,281,0,0,0,312,0,0,0,153,0,0,0,0,168,0,0,0,123,0,0,0,0,40,0,0,0,47,736,902,291,87,
"Whitlawburn and Greenlees",212,0,0,0,496,0,0,0,0,171,0,0,0,342,0,0,0,394,0,0,0,169,0,0,0,0,184,0,0,0,99,0,0,0,0,34,0,0,0,23,711,1076,285,61,
"Cambuslang Central",315,0,0,0,285,0,0,0,0,187,0,0,0,274,0,0,0,297,0,0,0,130,0,0,0,0,46,0,0,0,75,0,0,0,0,19,0,0,0,29,600,887,121,48,
"Burgh, Eastfield and Silverbank",380,0,0,0,457,0,0,0,0,261,0,0,0,526,0,0,0,432,0,0,0,207,0,0,0,0,113,0,0,0,126,0,0,0,0,45,0,0,0,48,837,1429,243,91,
"Farme Cross and Gallowflat North",361,0,0,0,739,0,0,0,0,97,0,0,0,358,0,0,0,233,0,0,0,81,0,0,0,0,124,0,0,0,91,0,0,0,0,17,0,0,0,51,1100,769,215,68,
"Shawfield and Clincarthill",284,0,0,0,620,0,0,0,0,111,0,0,0,235,0,0,0,161,0,0,0,66,0,0,0,0,86,0,0,0,80,0,0,0,0,18,0,0,0,46,904,575,160,64,
"Burnhill and Bankhead North",367,0,0,0,612,0,0,0,0,130,0,0,0,251,0,0,0,186,0,0,0,83,0,0,0,0,145,0,0,0,132,0,0,0,0,28,0,0,0,49,975,650,277,78,
"Bankhead South",245,0,0,0,290,0,0,0,0,152,0,0,0,254,0,0,0,197,0,0,0,115,0,0,0,0,89,0,0,0,90,0,0,0,0,18,0,0,0,33,535,722,183,54,
"Spittal",208,0,0,0,266,0,0,0,0,77,0,0,0,182,0,0,0,200,0,0,0,95,0,0,0,0,123,0,0,0,114,0,0,0,0,34,0,0,0,50,474,554,240,83,
"High Crosshill",283,0,0,0,225,0,0,0,0,226,0,0,0,321,0,0,0,329,0,0,0,153,0,0,0,0,50,0,0,0,58,0,0,0,0,17,0,0,0,31,509,1029,108,48,
"Burnside and Springhall",395,0,0,0,468,0,0,0,0,208,0,0,0,302,0,0,0,306,0,0,0,117,0,0,0,0,110,0,0,0,83,0,0,0,0,34,0,0,0,28,863,933,190,65,
"Fernhill and Cathkin",261,0,0,0,436,0,0,0,0,122,0,0,0,274,0,0,0,337,0,0,0,139,0,0,0,0,222,0,0,0,156,0,0,0,0,45,0,0,0,36,696,875,378,81,
"Lindsayfield West, Lindsayfield South and Auldhouse",140,0,0,0,321,0,0,0,0,91,0,0,0,338,0,0,0,631,0,0,0,120,0,0,0,0,71,0,0,0,49,0,0,0,0,20,0,0,0,19,461,1177,119,39,
"Nerston",128,0,0,0,375,0,0,0,0,84,0,0,0,469,0,0,0,604,0,0,0,124,0,0,0,0,139,0,0,0,67,0,0,0,0,32,0,0,0,36,503,1279,206,68,
"Calderwood East",199,0,0,0,500,0,0,0,0,108,0,0,0,255,0,0,0,250,0,0,0,120,0,0,0,0,141,0,0,0,79,0,0,0,0,20,0,0,0,29,697,733,220,47,
"Calderwood Central",389,0,0,0,691,0,0,0,0,128,0,0,0,305,0,0,0,208,0,0,0,111,0,0,0,0,110,0,0,0,110,0,0,0,0,21,0,0,0,26,1083,753,220,50,
"Calderwood West",314,0,0,0,496,0,0,0,0,137,0,0,0,322,0,0,0,303,0,0,0,128,0,0,0,0,139,0,0,0,104,0,0,0,0,26,0,0,0,41,810,890,243,62,
"St Leonards North",368,0,0,0,479,0,0,0,0,221,0,0,0,325,0,0,0,361,0,0,0,199,0,0,0,0,101,0,0,0,79,0,0,0,0,11,0,0,0,47,847,1104,180,58,
"St Leonards South",323,0,0,0,446,0,0,0,0,230,0,0,0,350,0,0,0,340,0,0,0,175,0,0,0,0,138,0,0,0,87,0,0,0,0,17,0,0,0,25,769,1095,227,38,
"East Mains",330,0,0,0,383,0,0,0,0,143,0,0,0,237,0,0,0,198,0,0,0,111,0,0,0,0,68,0,0,0,58,0,0,0,0,17,0,0,0,35,709,693,123,52,
"West Mains",235,0,0,0,351,0,0,0,0,106,0,0,0,237,0,0,0,218,0,0,0,99,0,0,0,0,80,0,0,0,69,0,0,0,0,17,0,0,0,28,586,660,149,45,
"Stewartfield East",149,0,0,0,88,0,0,0,0,140,0,0,0,244,0,0,0,219,0,0,0,142,0,0,0,0,28,0,0,0,37,0,0,0,0,11,0,0,0,20,240,742,65,32,
"Stewartfield West",174,0,0,0,265,0,0,0,0,196,0,0,0,335,0,0,0,338,0,0,0,196,0,0,0,0,63,0,0,0,65,0,0,0,0,21,0,0,0,15,438,1064,128,36,
"Thorntonhall, Jackton and Gardenhall",130,0,0,0,137,0,0,0,0,214,0,0,0,383,0,0,0,486,0,0,0,183,0,0,0,0,45,0,0,0,42,0,0,0,0,27,0,0,0,15,266,1265,84,38,
"Hairmyres and Westwood West",194,0,0,0,241,0,0,0,0,119,0,0,0,187,0,0,0,217,0,0,0,85,0,0,0,0,35,0,0,0,44,0,0,0,0,20,0,0,0,13,432,610,78,28,
"Mossneuk and Newlandsmuir",174,0,0,0,225,0,0,0,0,235,0,0,0,324,0,0,0,296,0,0,0,185,0,0,0,0,70,0,0,0,66,0,0,0,0,21,0,0,0,21,399,1043,136,42,
"Crosshouse and Lindsayfield Central",184,0,0,0,268,0,0,0,0,159,0,0,0,353,0,0,0,536,0,0,0,177,0,0,0,0,139,0,0,0,85,0,0,0,0,50,0,0,0,34,452,1228,224,81,
"Whitehills West",249,0,0,0,325,0,0,0,0,153,0,0,0,225,0,0,0,329,0,0,0,153,0,0,0,0,149,0,0,0,115,0,0,0,0,33,0,0,0,24,573,863,264,57,
"Greenhills",237,0,0,0,222,0,0,0,0,113,0,0,0,171,0,0,0,235,0,0,0,129,0,0,0,0,101,0,0,0,85,0,0,0,0,28,0,0,0,24,462,651,185,52,
"Westwood South",275,0,0,0,440,0,0,0,0,159,0,0,0,321,0,0,0,294,0,0,0,153,0,0,0,0,132,0,0,0,95,0,0,0,0,21,0,0,0,35,715,927,230,56,
"Westwood East",277,0,0,0,448,0,0,0,0,116,0,0,0,276,0,0,0,231,0,0,0,98,0,0,0,0,94,0,0,0,76,0,0,0,0,22,0,0,0,32,724,725,170,57,
"The Murray",343,0,0,0,565,0,0,0,0,113,0,0,0,254,0,0,0,236,0,0,0,132,0,0,0,0,102,0,0,0,104,0,0,0,0,26,0,0,0,22,908,734,206,48,
"Birniehill, Kelvin and Whitehills East",237,0,0,0,349,0,0,0,0,128,0,0,0,326,0,0,0,256,0,0,0,157,0,0,0,0,120,0,0,0,93,0,0,0,0,27,0,0,0,30,586,865,209,58,
"Blane Valley",356,0,0,0,248,0,0,0,0,355,0,0,0,449,0,0,0,474,0,0,0,184,0,0,0,0,80,0,0,0,59,0,0,0,0,22,0,0,0,41,604,1462,139,63,
"Balfron and Drymen",277,0,0,0,268,0,0,0,0,241,0,0,0,343,0,0,0,387,0,0,0,154,0,0,0,0,92,0,0,0,61,0,0,0,0,23,0,0,0,41,545,1120,153,64,
"Kippen, Fintry and Gargunnock",185,0,0,0,150,0,0,0,0,209,0,0,0,288,0,0,0,282,0,0,0,98,0,0,0,0,43,0,0,0,34,0,0,0,0,11,0,0,0,25,335,875,77,40,
"Cambusbarron",211,0,0,0,253,0,0,0,0,215,0,0,0,318,0,0,0,334,0,0,0,138,0,0,0,0,75,0,0,0,59,0,0,0,0,25,0,0,0,32,464,1005,134,60,
"Plean and Rural SE",154,0,0,0,239,0,0,0,0,98,0,0,0,265,0,0,0,272,0,0,0,117,0,0,0,0,96,0,0,0,77,0,0,0,0,34,0,0,0,36,393,755,173,70,
"Cowie",111,0,0,0,198,0,0,0,0,66,0,0,0,180,0,0,0,238,0,0,0,99,0,0,0,0,88,0,0,0,71,0,0,0,0,44,0,0,0,20,309,583,159,62,
"Fallin",103,0,0,0,256,0,0,0,0,72,0,0,0,212,0,0,0,209,0,0,0,90,0,0,0,0,127,0,0,0,73,0,0,0,0,34,0,0,0,34,358,583,198,63,
"Bannockburn",242,0,0,0,306,0,0,0,0,124,0,0,0,291,0,0,0,224,0,0,0,128,0,0,0,0,73,0,0,0,66,0,0,0,0,20,0,0,0,37,548,767,136,57,
"Hillpark",172,0,0,0,238,0,0,0,0,86,0,0,0,237,0,0,0,262,0,0,0,119,0,0,0,0,115,0,0,0,108,0,0,0,0,31,0,0,0,49,410,704,223,80,
"Broomridge",398,0,0,0,758,0,0,0,0,216,0,0,0,470,0,0,0,353,0,0,0,169,0,0,0,0,117,0,0,0,108,0,0,0,0,31,0,0,0,71,1156,1208,225,102,
"Borestone",242,0,0,0,433,0,0,0,0,90,0,0,0,291,0,0,0,337,0,0,0,100,0,0,0,0,139,0,0,0,93,0,0,0,0,33,0,0,0,62,672,821,232,98,
"King's Park and Torbrex",434,0,0,0,261,0,0,0,0,300,0,0,0,338,0,0,0,326,0,0,0,112,0,0,0,0,42,0,0,0,56,0,0,0,0,19,0,0,0,55,695,1079,98,74,
"Braehead",204,0,0,0,314,0,0,0,0,75,0,0,0,167,0,0,0,167,0,0,0,54,0,0,0,0,52,0,0,0,63,0,0,0,0,15,0,0,0,62,518,466,113,77,
"City Centre",101,0,0,0,671,0,0,0,0,16,0,0,0,280,0,0,0,83,0,0,0,37,0,0,0,0,40,0,0,0,51,0,0,0,0,12,0,0,0,634,772,416,91,646,
