SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01019284",56,58,0,120,62,0,68,13,0,13,3,0,3,0,0,
"S01019285",63,11,0,178,36,0,121,8,0,26,0,0,5,0,0,
"S01019286",32,18,0,162,26,0,103,1,0,21,0,0,10,0,0,
"S01019287",31,15,0,187,25,0,151,4,0,23,0,0,14,0,0,
"S01019288",40,67,0,182,99,0,97,17,0,32,3,0,12,0,0,
"S01019289",29,126,0,65,128,0,29,22,0,7,2,0,3,2,0,
"S01019290",4,0,0,70,1,0,79,0,2,25,0,0,15,0,0,
"S01019291",13,3,0,84,2,0,109,3,0,42,0,0,5,0,0,
"S01019292",32,10,0,83,17,0,64,4,0,14,1,0,1,0,0,
"S01019293",28,26,0,106,90,0,95,25,0,27,4,0,14,0,0,
"S01019294",12,1,0,70,14,0,93,7,0,26,0,0,14,0,0,
"S01019295",16,0,0,139,7,0,100,1,1,25,0,0,7,0,0,
"S01019296",17,4,0,75,15,0,65,2,0,16,2,0,6,0,0,
"S01019297",46,4,0,113,15,0,84,3,0,15,0,0,10,0,0,
"S01019298",50,7,0,155,20,0,127,4,0,38,1,0,18,0,0,
"S01019299",24,6,0,126,14,1,119,8,0,37,0,0,9,0,0,
"S01019300",19,20,0,96,54,0,83,19,0,9,0,0,1,0,0,
"S01019301",36,3,0,137,9,0,111,3,0,26,0,0,12,0,0,
"S01019302",29,17,0,89,20,0,66,8,0,18,1,0,7,0,0,
"S01019303",3,2,0,73,8,0,101,3,0,37,0,0,21,1,0,
"S01019304",28,28,0,153,34,1,96,8,1,27,1,0,4,0,0,
"S01019305",33,21,0,143,35,0,109,21,0,37,2,0,14,0,0,
"S01019306",23,4,0,110,9,0,97,1,0,29,0,0,16,2,0,
"S01019307",51,66,0,230,64,3,118,11,0,26,1,0,9,1,0,
"S01019308",61,60,0,179,82,0,89,18,2,20,5,0,10,0,0,
"S01019309",31,22,1,121,24,0,118,5,0,17,0,0,9,0,0,
"S01019310",17,0,0,115,6,0,103,0,0,38,0,0,15,0,0,
"S01019311",64,62,0,199,76,0,85,21,0,21,2,0,13,1,0,
"S01019312",52,14,0,180,30,0,100,14,0,25,0,0,17,1,0,
"S01019313",34,2,2,119,3,0,102,0,0,37,0,0,11,0,0,
"S01019314",10,1,0,97,5,0,77,4,0,27,0,0,21,0,0,
"S01019315",15,2,0,123,1,0,88,0,0,26,1,0,17,0,0,
"S01019316",26,42,0,147,103,0,105,17,0,28,2,0,7,0,0,
"S01019317",46,44,0,92,72,0,59,18,0,14,2,0,4,0,0,
"S01019318",17,15,0,75,11,1,73,5,0,17,0,0,6,0,0,
"S01019319",22,35,0,97,37,0,57,19,0,17,2,0,6,0,0,
"S01019320",2,1,0,63,2,0,92,0,0,18,0,0,12,0,0,
"S01019321",21,6,0,122,26,0,126,2,0,44,5,0,11,0,0,
"S01019322",25,8,0,113,28,0,101,11,0,38,1,0,12,0,0,
"S01019323",6,3,0,79,18,0,194,5,0,48,0,0,13,0,0,
"S01019324",19,2,0,95,5,0,139,3,0,34,1,0,16,0,0,
"S01019325",10,8,0,124,31,0,147,5,0,12,1,0,3,0,0,
"S01019326",2,1,0,112,14,0,162,5,0,11,0,0,6,0,0,
"S01019327",6,6,0,105,4,0,167,1,0,8,1,0,2,0,0,
"S01019328",2,5,0,88,35,0,129,16,0,15,1,0,3,0,0,
"S01019329",3,0,0,60,4,0,162,1,0,16,0,0,8,0,0,
"S01019330",5,2,0,64,1,0,182,0,0,33,0,0,8,0,0,
"S01019331",7,6,0,130,17,0,155,7,0,32,1,0,17,1,0,
"S01019332",27,38,0,108,50,0,104,8,0,21,3,0,19,0,0,
"S01019333",2,5,0,83,55,0,77,28,0,22,2,0,5,2,0,
"S01019334",13,2,0,76,4,1,107,2,0,31,0,0,10,0,0,
"S01019335",5,0,0,78,2,0,131,0,0,20,0,0,2,0,0,
"S01019336",10,0,0,88,0,0,128,1,0,26,0,0,11,0,0,
"S01019337",4,2,0,80,2,0,96,0,0,41,0,0,17,0,0,
"S01019338",45,31,0,127,34,0,101,16,0,16,1,0,5,2,0,
"S01019339",26,54,0,92,97,0,73,15,0,12,5,0,6,2,0,
"S01019340",26,67,0,100,96,0,103,22,0,23,2,0,11,1,0,
"S01019341",33,23,0,145,42,0,95,14,0,24,0,0,12,0,0,
"S01019342",54,3,0,99,1,1,62,1,0,10,0,0,3,0,0,
"S01019343",39,72,0,50,67,0,28,18,0,5,2,0,1,0,0,
"S01019344",36,132,0,29,103,0,16,34,0,4,5,0,0,0,0,
"S01019345",118,12,0,198,16,0,79,7,0,17,0,0,5,0,0,
"S01019346",16,16,0,77,19,0,80,9,0,28,0,0,5,0,0,
"S01019347",55,39,0,132,55,0,71,6,0,19,1,0,9,0,0,
"S01019348",22,7,0,90,13,0,73,6,0,11,0,0,7,0,0,
"S01019349",57,17,0,111,13,0,71,3,0,8,0,0,0,1,0,
"S01019350",44,80,0,97,73,0,35,26,0,12,6,0,2,0,0,
"S01019351",70,124,0,79,103,0,33,29,0,14,1,0,4,0,0,
"S01019352",21,294,0,52,197,0,38,32,0,8,5,0,1,2,0,
"S01019353",32,159,0,41,113,0,24,19,0,5,0,0,5,2,0,
"S01019354",32,187,0,41,121,0,25,23,0,6,0,0,3,0,0,
"S01019355",45,172,0,59,82,0,32,21,0,8,1,0,1,0,0,
"S01019356",43,83,0,95,52,0,49,7,0,10,2,0,0,0,0,
"S01019357",44,34,0,166,33,0,106,8,0,19,0,0,2,0,0,
"S01019358",12,77,0,54,71,0,40,12,0,18,4,0,3,2,0,
"S01019359",69,95,0,130,73,0,61,11,0,8,2,0,3,0,0,
"S01019360",83,38,0,165,15,0,61,10,0,13,0,0,1,0,0,
"S01019361",70,64,0,82,42,0,36,10,0,1,1,0,0,0,0,
"S01019362",111,52,0,162,32,0,75,6,0,8,2,0,4,0,0,
"S01019363",61,29,0,125,16,0,92,4,0,11,0,0,6,0,0,
"S01019364",28,1,0,119,6,0,139,4,0,21,1,0,5,0,0,
"S01019365",39,11,0,111,28,0,90,5,0,22,0,0,9,2,0,
"S01019366",82,46,0,120,37,0,92,4,0,10,0,0,0,0,0,
"S01019367",72,88,0,105,51,0,68,17,0,11,0,0,4,5,0,
"S01019368",40,35,0,105,65,0,126,13,0,27,0,0,9,0,0,
"S01019369",23,3,0,102,5,0,132,0,0,32,0,0,5,0,0,
"S01019370",14,9,0,110,20,0,102,0,0,21,1,0,8,0,0,
"S01019371",19,11,0,90,29,0,61,2,0,11,0,0,6,0,0,
"S01019372",77,42,0,99,22,0,35,3,0,9,0,0,0,0,0,
"S01019373",90,45,0,65,17,0,28,5,0,11,0,0,3,0,0,
"S01019374",69,68,0,126,47,0,50,18,0,17,2,0,10,0,0,
"S01019375",92,40,0,68,16,0,27,0,0,3,0,0,3,0,0,
"S01019376",56,66,0,42,27,0,19,6,0,5,0,0,1,0,0,
"S01019377",28,96,0,21,45,0,17,10,0,6,0,0,0,0,0,
"S01019378",11,227,0,26,78,0,26,13,0,4,0,0,1,0,0,
"S01019379",39,210,0,37,101,0,10,17,0,4,2,0,3,0,0,
"S01019380",38,142,0,43,63,0,12,11,0,2,1,0,4,0,0,
"S01019381",24,249,0,22,79,0,6,12,0,0,0,0,1,0,0,
"S01019382",12,149,0,25,87,0,11,20,0,8,1,0,3,0,0,
"S01019383",24,68,0,135,64,0,92,25,0,24,0,0,7,0,0,
"S01019384",13,36,0,75,103,0,53,24,0,21,1,0,6,0,0,
"S01019385",14,6,0,110,4,0,91,2,0,33,2,0,4,0,0,
"S01019386",25,122,0,80,119,0,62,23,0,19,3,0,3,1,0,
"S01019387",37,103,0,67,92,0,50,24,0,15,2,0,1,1,0,
"S01019388",35,45,0,111,52,0,97,8,0,14,2,0,4,0,0,
"S01019389",97,76,0,102,58,0,43,13,0,11,1,0,7,1,0,
"S01019390",56,73,0,83,62,0,35,13,0,7,0,0,5,0,0,
"S01019391",88,97,0,104,47,1,34,7,0,10,0,0,1,0,0,
"S01019392",73,59,0,86,31,0,49,4,0,6,1,0,1,0,0,
"S01019393",77,85,0,94,69,0,34,6,0,8,1,0,4,0,0,
"S01019394",30,4,0,117,5,0,66,1,0,15,0,0,5,0,0,
"S01019395",43,12,0,105,11,0,97,0,0,21,0,0,2,0,0,
"S01019396",100,83,0,103,40,0,58,11,0,23,2,0,1,0,0,
"S01019397",71,53,0,134,46,0,90,9,0,16,2,0,4,2,0,
"S01019398",12,38,0,88,21,0,88,4,0,28,0,0,10,2,0,
"S01019399",26,23,0,117,52,0,106,7,0,25,1,0,4,0,0,
"S01019400",15,0,0,136,2,0,141,3,0,45,0,0,11,0,0,
"S01019401",32,3,0,113,13,0,68,0,0,10,0,0,4,0,0,
"S01019402",36,9,0,85,14,0,50,9,0,12,3,0,6,0,0,
"S01019403",18,36,0,49,65,0,41,6,0,10,0,0,0,0,0,
"S01019404",27,1,0,115,15,0,114,4,0,34,0,0,13,0,0,
"S01019405",41,42,0,105,38,0,107,16,0,30,3,0,14,1,0,
"S01019406",100,26,0,127,42,0,72,10,0,14,1,0,5,0,0,
"S01019407",76,15,0,113,9,0,63,7,0,19,4,0,0,0,0,
"S01019408",42,23,0,84,35,0,47,13,0,13,0,0,5,2,0,
"S01019409",57,67,0,94,54,0,44,16,0,11,3,0,2,0,0,
"S01019410",59,36,0,106,20,0,63,11,0,12,0,0,8,0,0,
"S01019411",51,24,0,99,27,0,51,6,0,5,2,0,2,0,0,
"S01019412",29,11,0,99,21,0,91,8,0,29,2,0,12,0,0,
"S01019413",30,88,0,69,79,0,34,10,0,7,4,0,3,2,0,
"S01019414",46,43,0,158,59,0,81,16,0,21,0,0,6,0,0,
"S01019415",12,13,0,112,21,0,146,2,0,30,0,0,11,0,0,
"S01019416",22,66,0,103,139,0,106,22,0,29,1,0,7,0,0,
"S01019417",14,100,0,74,163,0,83,46,0,25,6,0,12,0,0,
"S01019418",26,28,0,77,73,0,72,22,0,19,5,0,12,1,0,
"S01019419",7,359,0,13,155,0,5,24,0,0,2,0,0,0,0,
"S01019420",38,280,0,35,199,0,23,21,0,3,0,0,6,0,0,
"S01019421",39,224,0,55,161,0,17,20,0,3,5,0,2,0,0,
"S01019422",43,150,0,62,81,0,34,22,0,5,1,0,4,0,0,
"S01019423",31,107,0,70,139,0,41,18,0,8,1,0,0,0,0,
"S01019424",59,106,2,124,104,0,71,11,0,18,2,0,3,0,0,
"S01019425",26,38,0,81,66,0,99,16,0,27,5,0,10,0,0,
"S01019426",41,28,0,104,36,0,39,5,0,7,0,0,1,2,0,
"S01019427",49,18,0,136,23,0,65,5,0,12,0,0,1,0,0,
"S01019428",15,8,0,85,44,0,119,12,0,15,0,0,4,0,0,
"S01019429",14,9,0,87,7,0,122,0,0,40,0,0,7,0,0,
"S01019430",16,1,0,79,1,0,94,0,0,27,1,0,8,0,0,
"S01019431",20,0,0,128,1,0,116,0,0,21,0,0,9,0,0,
"S01019432",41,38,0,150,41,0,133,11,0,21,0,0,10,0,0,
"S01019433",103,45,0,150,43,0,73,14,0,20,1,0,3,1,0,
"S01019434",68,20,0,121,18,0,67,6,0,18,0,0,1,0,0,
"S01019435",22,61,0,46,55,0,41,12,0,9,2,0,4,2,0,
"S01019436",47,29,0,88,46,0,27,9,0,2,1,0,4,0,0,
"S01019437",28,274,0,40,152,0,13,17,0,5,0,0,1,0,0,
"S01019438",15,102,0,50,133,0,39,40,0,7,0,0,2,0,0,
"S01019439",5,181,0,9,119,1,4,19,0,0,2,0,0,0,0,
"S01019440",1,196,0,0,181,0,4,27,0,1,1,0,0,0,0,
"S01019441",21,111,0,41,101,0,14,20,0,1,4,0,5,0,0,
"S01019442",10,190,0,20,165,0,22,27,0,1,1,0,1,0,0,
"S01019443",35,309,1,87,181,0,32,27,0,8,3,0,2,2,0,
"S01019444",17,363,0,24,186,0,7,39,0,3,5,0,2,0,0,
"S01019445",19,242,0,29,153,0,9,27,0,3,2,0,1,0,0,
"S01019446",20,99,0,56,109,0,23,21,0,6,4,0,0,0,0,
"S01019447",19,202,0,53,248,0,28,61,0,0,5,0,1,1,0,
"S01019448",6,395,0,9,181,0,1,24,0,0,3,0,0,0,0,
"S01019449",3,307,0,8,135,0,2,27,0,0,1,0,0,2,0,
"S01019450",17,248,0,38,171,0,26,20,0,8,0,0,1,1,0,
"S01019451",36,84,0,79,141,0,62,35,0,8,6,0,7,0,0,
"S01019452",41,79,0,115,101,0,80,22,0,11,2,0,6,0,0,
"S01019453",19,4,0,88,16,0,88,6,0,13,0,0,3,0,0,
"S01019454",51,3,0,163,22,0,124,2,0,24,0,0,9,0,0,
"S01019455",54,2,0,191,4,0,107,1,0,26,0,0,9,0,0,
"S01019456",37,5,0,154,12,0,129,0,0,27,0,0,12,0,0,
"S01019457",46,16,0,160,30,0,142,4,0,27,1,0,10,0,0,
"S01019458",40,3,0,131,9,0,152,9,0,32,2,0,15,0,0,
"S01019459",49,208,0,32,174,0,0,43,0,6,4,0,0,2,0,
"S01019460",24,178,0,30,124,0,18,25,0,3,4,0,1,0,0,
"S01019461",25,124,0,22,107,0,5,33,0,0,0,0,0,1,0,
"S01019462",16,77,0,65,83,0,59,26,0,14,2,0,4,2,0,
"S01019463",101,58,0,118,52,0,46,7,0,9,2,0,2,0,0,
"S01019464",80,32,0,81,19,0,33,12,0,5,0,0,1,0,0,
"S01019465",32,141,0,30,94,0,15,23,0,3,4,0,0,1,0,
"S01019466",43,153,0,79,152,0,19,24,0,5,0,0,1,5,0,
"S01019467",15,245,0,20,150,0,6,18,0,1,0,0,0,5,0,
"S01019468",19,247,3,28,171,4,29,31,3,9,0,0,2,1,0,
"S01019469",55,52,0,117,26,0,62,5,0,6,4,0,2,0,0,
"S01019470",30,124,0,56,61,0,23,11,0,4,0,0,0,0,0,
"S01019471",94,79,0,153,86,0,79,7,0,12,0,0,0,1,0,
"S01019472",24,52,0,100,109,0,86,29,0,22,0,0,7,0,0,
"S01019473",17,107,0,76,97,0,69,25,0,12,2,0,6,2,0,
"S01019474",13,14,0,146,25,0,155,9,0,30,0,0,12,1,0,
"S01019475",51,130,0,63,112,0,26,26,0,5,5,0,4,1,0,
"S01019476",21,71,0,56,72,0,23,24,0,12,1,0,2,0,0,
"S01019477",44,113,0,86,73,0,49,10,0,10,0,0,2,0,0,
"S01019478",25,3,0,97,4,0,81,0,0,21,0,0,4,0,0,
"S01019479",29,3,0,144,3,0,84,2,0,17,0,0,4,0,0,
"S01019480",12,81,0,14,65,0,10,18,0,0,3,0,0,0,0,
"S01019481",32,110,0,75,129,0,65,33,0,12,0,0,1,2,0,
"S01019482",41,10,0,113,12,0,74,3,0,13,0,0,1,0,0,
"S01019483",49,77,0,103,83,0,53,25,0,8,5,0,4,2,0,
"S01019484",55,171,0,91,179,0,42,45,0,12,6,0,2,0,0,
"S01019485",82,96,0,114,105,0,55,19,0,11,2,0,5,2,0,
"S01019486",52,59,0,69,61,0,31,19,0,5,1,0,0,3,0,
"S01019487",36,5,0,124,4,0,81,0,0,26,1,0,6,0,0,
"S01019488",18,9,0,111,6,0,128,4,0,39,1,0,16,0,0,
"S01019489",33,29,0,128,61,0,73,10,0,10,0,0,7,0,0,
"S01019490",33,21,0,136,56,0,83,7,0,12,0,0,3,1,0,
"S01019491",36,6,0,81,17,0,58,2,0,26,1,0,8,0,0,
"S01019492",31,3,0,112,3,0,68,1,0,16,0,0,10,0,0,
"S01019493",23,69,0,74,39,0,51,10,0,9,3,0,1,1,0,
"S01019494",36,33,0,90,46,0,61,15,0,7,1,0,2,1,0,
"S01019495",23,103,0,67,75,0,57,17,0,9,0,0,8,0,0,
"S01019496",11,98,0,24,197,0,11,46,0,2,2,0,0,0,0,
"S01019497",15,58,0,29,345,0,36,112,0,3,0,0,2,0,0,
"S01019498",21,236,0,42,195,0,24,28,0,4,4,0,1,1,0,
"S01019499",50,63,0,85,70,0,41,16,0,9,1,0,5,0,0,
"S01019500",28,116,0,51,98,0,23,22,0,6,1,0,2,2,0,
"S01019501",11,15,0,69,70,0,65,26,0,16,5,0,12,0,0,
"S01019502",8,21,0,70,56,0,110,15,0,14,0,0,2,0,0,
"S01019503",0,7,0,83,6,0,110,0,0,21,0,0,1,0,0,
"S01019504",15,26,0,78,41,0,76,12,0,17,1,0,4,0,0,
"S01019505",16,73,0,66,74,0,29,19,0,9,0,0,2,0,0,
"S01019506",31,17,0,94,19,0,62,7,0,22,0,0,6,0,0,
"S01019507",20,13,0,74,20,0,81,10,0,12,5,0,5,0,0,
"S01019508",13,4,0,81,1,0,75,0,0,19,0,0,6,0,0,
"S01019509",20,6,0,120,14,0,106,0,0,26,0,0,7,0,0,
"S01019510",21,0,0,87,0,0,94,2,0,29,0,0,3,0,0,
"S01019511",5,1,0,74,1,0,93,0,0,34,0,0,5,0,0,
"S01019512",7,0,0,60,5,0,75,0,0,21,0,0,11,0,0,
"S01019513",45,6,0,169,1,0,146,2,0,34,0,0,13,0,0,
"S01019514",10,8,0,64,22,0,70,5,0,18,1,0,7,0,0,
"S01019515",49,23,0,141,16,0,67,0,0,9,0,0,4,0,0,
"S01019516",50,59,0,146,35,0,78,7,0,18,1,0,7,0,0,
"S01019517",61,6,0,125,4,0,76,0,0,20,0,0,1,0,0,
"S01019518",61,7,0,118,4,0,55,1,0,15,0,0,3,0,0,
"S01019519",51,18,0,132,12,0,64,3,0,24,0,0,6,0,0,
"S01019520",38,5,0,103,3,0,68,1,0,14,0,0,3,0,0,
"S01019521",36,1,0,138,3,0,113,1,0,23,0,0,8,0,0,
"S01019522",10,1,0,114,3,0,99,0,0,32,0,0,8,0,0,
"S01019523",15,2,0,116,19,0,105,0,0,26,1,0,3,0,0,
"S01019524",56,2,0,122,12,0,89,3,0,31,1,0,8,0,0,
"S01019525",87,15,0,158,20,0,84,1,0,25,0,0,6,0,0,
"S01019526",79,43,0,151,53,0,92,10,0,19,0,0,7,0,0,
"S01019527",51,46,0,105,33,0,71,3,0,7,0,0,6,0,0,
"S01019528",58,75,0,120,40,0,68,4,0,14,2,0,6,0,0,
"S01019529",40,32,0,124,46,0,113,13,0,27,3,0,9,0,0,
"S01019530",29,2,0,141,2,0,96,1,0,28,0,0,6,0,0,
"S01019531",23,0,0,167,5,0,113,0,0,21,0,0,7,0,0,
"S01019532",28,2,0,128,1,0,92,4,0,31,0,0,13,0,0,
"S01019533",33,3,0,161,6,0,95,0,0,18,0,0,13,0,0,
"S01019534",13,1,0,113,9,0,112,6,0,21,0,0,9,0,0,
"S01019535",23,71,0,79,76,0,67,13,0,12,2,0,1,0,0,
"S01019536",39,71,0,49,47,0,21,7,0,8,0,0,1,0,0,
"S01019537",99,63,0,123,44,0,58,6,0,13,2,0,1,0,0,
"S01019538",30,157,0,40,104,0,14,15,0,3,0,0,5,0,0,
"S01019539",47,65,0,58,69,0,36,15,0,4,2,0,3,0,0,
"S01019540",86,87,0,103,59,0,59,15,0,16,0,0,4,0,0,
"S01019541",82,75,0,122,23,0,33,6,0,9,1,0,1,0,0,
"S01019542",54,51,0,103,57,0,61,14,0,26,0,0,4,0,0,
"S01019543",75,86,0,119,71,0,71,20,0,12,4,0,3,0,0,
"S01019544",55,16,0,104,13,0,69,8,0,23,0,0,1,0,0,
"S01019545",54,10,0,89,22,0,61,8,0,16,1,0,4,0,0,
"S01019546",54,1,0,109,0,0,66,0,0,21,1,0,2,0,0,
"S01019547",20,3,0,155,15,0,106,1,0,18,2,0,3,0,0,
"S01019548",29,1,0,178,9,0,145,2,0,38,0,0,5,0,0,
"S01019549",7,0,0,81,0,0,141,0,0,36,0,0,17,0,0,
"S01019550",20,2,0,102,0,0,143,0,0,30,0,0,12,0,0,
"S01019551",11,0,0,109,0,1,154,1,0,46,0,0,9,0,0,
"S01019552",10,18,0,100,32,0,159,5,0,48,0,0,14,0,0,
"S01019553",13,0,0,75,0,0,101,3,0,15,0,0,9,0,0,
"S01019554",36,10,0,92,28,0,122,6,0,27,0,0,8,0,0,
"S01019555",7,6,0,76,22,0,139,9,0,34,1,0,14,0,0,
"S01019556",38,44,0,77,108,0,54,28,0,15,2,0,4,0,0,
"S01019557",16,55,0,32,86,0,32,31,0,5,6,0,2,0,0,
"S01019558",38,33,0,93,82,0,93,19,0,16,2,0,6,0,0,
"S01019559",8,3,0,46,26,0,98,14,0,20,1,0,9,0,0,
"S01019560",14,0,0,95,3,0,151,14,0,40,1,0,17,0,0,
"S01019561",22,0,0,74,4,0,116,2,0,24,0,0,7,0,0,
"S01019562",4,0,0,101,0,0,163,1,0,46,0,0,25,2,0,
"S01019563",31,27,0,151,32,0,118,8,0,32,1,0,5,0,0,
"S01019564",16,1,0,125,6,0,159,0,0,33,0,0,12,0,0,
"S01019565",12,7,0,107,9,0,126,2,0,47,0,0,10,0,0,
"S01019566",11,2,0,115,9,0,137,1,0,39,0,0,21,0,0,
"S01019567",21,6,0,134,11,0,152,1,1,40,1,0,17,0,0,
"S01019568",17,4,0,97,5,1,139,2,1,39,0,0,20,0,0,
"S01019569",24,33,0,73,53,0,45,7,0,11,4,0,0,0,0,
"S01019570",26,104,1,92,92,0,58,15,0,17,0,0,1,1,0,
"S01019571",9,52,0,53,69,0,44,20,0,14,3,0,2,1,0,
"S01019572",57,116,0,132,126,0,40,24,0,7,4,0,5,0,0,
"S01019573",37,58,0,104,97,0,81,16,0,8,2,0,0,2,0,
"S01019574",39,134,0,108,139,0,65,16,0,23,2,0,6,1,0,
"S01019575",18,0,0,111,2,0,93,0,0,14,0,0,4,0,0,
"S01019576",54,20,0,168,36,0,101,14,0,25,0,0,5,0,0,
"S01019577",35,6,0,138,15,0,131,2,0,28,1,0,9,0,0,
"S01019578",24,4,0,101,20,0,90,11,0,27,0,0,8,0,0,
"S01019579",73,9,0,134,7,0,126,10,0,22,5,0,14,0,0,
"S01019580",13,1,0,94,5,0,83,3,0,14,0,0,4,0,0,
"S01019581",18,26,0,52,50,0,63,20,0,14,0,0,4,1,0,
"S01019582",35,16,0,119,27,0,58,6,0,17,0,0,4,0,0,
"S01019583",23,64,0,78,74,0,51,16,0,16,3,0,1,0,0,
"S01019584",31,23,0,84,54,0,78,18,0,7,4,0,6,0,0,
"S01019585",15,19,0,112,60,0,97,21,0,22,1,0,3,1,0,
"S01019586",16,2,0,111,16,0,141,5,0,37,0,0,8,0,0,
"S01019587",13,9,0,122,13,0,177,4,0,43,0,0,20,1,0,
"S01019588",26,53,0,99,96,0,47,33,0,13,7,0,8,2,0,
"S01019589",25,3,0,152,3,0,140,2,0,40,0,0,7,0,0,
"S01019590",11,0,0,92,2,0,96,0,0,24,0,0,15,0,0,
"S01019591",40,39,0,148,43,0,133,11,0,40,2,0,14,0,0,
"S01019592",45,17,0,133,31,0,91,10,0,20,3,0,11,0,0,
"S01019593",9,0,0,78,1,0,91,3,0,27,0,0,17,0,0,
"S01019594",13,0,0,72,4,0,102,0,0,24,0,0,6,0,0,
"S01019595",24,16,0,125,24,0,84,10,0,23,1,0,8,0,0,
"S01019596",38,65,0,138,78,0,99,20,0,16,0,0,2,0,0,
"S01019597",39,142,0,81,149,0,30,30,0,2,4,0,1,2,0,
"S01019598",27,57,0,136,53,0,94,15,0,17,2,0,5,1,0,
"S01019599",34,64,0,61,112,2,42,28,2,10,1,0,2,0,0,
"S01019600",23,31,0,80,60,0,49,15,0,6,2,0,1,0,0,
"S01019601",44,152,0,65,115,0,24,24,0,3,5,0,3,1,0,
"S01019602",34,119,0,74,116,0,26,21,0,9,4,0,4,0,0,
"S01019603",51,56,0,124,58,0,83,18,0,17,3,0,6,0,0,
"S01019604",32,87,0,88,85,0,39,17,0,6,4,0,3,2,0,
"S01019605",35,56,0,127,84,0,88,12,0,22,1,0,0,0,0,
"S01019606",32,55,0,107,54,0,92,13,0,20,1,0,11,1,0,
"S01019607",20,128,0,71,146,0,30,38,0,6,4,0,1,1,0,
"S01019608",18,47,0,111,14,0,65,6,0,18,3,0,3,0,0,
"S01019609",66,41,0,149,28,1,71,6,0,16,0,0,2,0,0,
"S01019610",72,154,0,101,73,0,38,13,0,7,2,0,2,1,0,
"S01019611",55,92,0,111,46,0,38,11,0,3,1,0,4,0,0,
"S01019612",14,5,0,101,10,0,82,5,0,8,0,0,5,0,0,
"S01019613",17,5,0,106,7,0,92,2,0,20,1,0,3,0,0,
"S01019614",26,14,0,133,19,0,67,6,0,15,1,0,10,0,0,
"S01019615",35,16,0,129,28,0,72,3,0,19,1,0,6,0,0,
"S01019616",16,11,0,105,29,0,86,11,0,27,0,0,4,0,0,
"S01019617",34,9,0,190,23,1,152,4,0,20,0,0,13,4,0,
"S01019618",25,32,0,122,41,0,62,4,0,10,1,0,4,2,0,
"S01019619",6,13,0,64,54,0,88,21,0,26,0,0,7,0,0,
"S01019620",8,15,0,86,33,0,57,6,1,19,0,0,6,1,0,
"S01019621",22,14,0,123,60,0,90,21,0,15,2,0,7,0,0,
"S01019622",27,0,0,137,8,0,147,7,0,38,1,0,15,0,0,
"S01019623",11,1,0,69,7,1,128,0,0,45,0,0,22,0,0,
"S01019624",41,6,0,151,26,0,140,6,0,34,0,0,7,0,0,
"S01019625",16,0,0,83,6,0,128,1,0,35,0,0,15,0,0,
"S01019626",24,14,0,128,8,0,84,3,0,17,0,0,15,2,0,
"S01019627",21,4,0,175,2,0,155,3,1,42,0,0,18,0,0,
"S01019628",10,3,0,96,5,0,91,1,0,32,0,0,12,0,0,
"S01019629",13,0,0,137,1,0,159,2,0,46,0,1,19,0,0,
"S01019630",9,0,0,84,2,1,87,0,0,22,0,0,14,0,0,
"S01019631",15,0,0,79,5,0,82,3,0,23,0,0,16,0,0,
"S01019632",53,63,0,157,58,0,93,6,0,20,2,0,11,0,0,
"S01019633",40,76,0,99,60,0,55,9,0,15,2,0,10,0,0,
"S01019634",36,56,0,109,44,0,53,9,0,14,0,0,6,0,0,
"S01019635",36,1,0,165,4,0,122,8,0,21,0,0,13,0,0,
"S01019636",33,4,0,141,12,1,78,3,0,18,0,0,8,0,0,
"S01019637",17,5,0,101,13,0,65,6,0,22,0,0,10,0,0,
"S01019638",18,2,0,100,8,0,96,4,0,29,0,0,4,0,0,
"S01019639",28,4,0,106,12,0,80,0,0,22,0,0,6,0,0,
"S01019640",16,4,0,105,6,0,80,1,0,29,0,0,10,0,0,
"S01019641",12,3,0,91,3,0,83,0,0,26,0,1,11,0,0,
"S01019642",27,3,0,141,4,1,105,4,0,44,2,0,9,0,0,
"S01019643",77,7,0,168,4,0,91,0,0,27,0,0,9,0,0,
"S01019644",42,94,0,106,69,0,56,7,0,6,6,0,2,0,0,
"S01019645",36,35,0,100,60,0,44,11,0,8,1,0,4,0,0,
"S01019646",31,18,0,107,14,0,81,5,0,20,0,0,9,0,0,
"S01019647",46,3,0,169,6,0,79,0,0,13,0,0,7,0,0,
"S01019648",14,2,0,148,3,0,119,3,0,31,0,0,14,0,0,
"S01019649",29,2,0,126,16,0,75,2,0,14,0,0,4,0,0,
