SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01019528",133,0,0,0,0,0,164,0,0,0,0,0,72,16,6,133,164,72,16,6,
"S01019529",72,0,0,0,0,0,170,0,0,0,0,0,126,30,9,72,170,126,30,9,
"S01019530",31,0,0,0,0,0,142,0,0,0,0,0,98,28,6,31,142,98,28,6,
"S01019531",23,0,0,0,0,0,172,0,0,0,0,0,113,21,7,23,172,113,21,7,
"S01019532",28,0,0,0,0,0,129,0,0,0,0,0,91,31,13,28,129,91,31,13,
"S01019533",35,0,0,0,0,0,164,0,0,0,0,0,95,18,13,35,164,95,18,13,
"S01019534",14,0,0,0,0,0,124,0,0,0,0,0,115,21,9,14,124,115,21,9,
"S01019535",94,0,0,0,0,0,155,0,0,0,0,0,83,11,1,94,155,83,11,1,
"S01019536",111,0,0,0,0,0,92,0,0,0,0,0,28,9,1,111,92,28,9,1,
"S01019537",162,0,0,0,0,0,167,0,0,0,0,0,64,12,1,162,167,64,12,1,
"S01019538",187,0,0,0,0,0,140,0,0,0,0,0,29,3,5,187,140,29,3,5,
"S01019539",112,0,0,0,0,0,125,0,0,0,0,0,51,6,3,112,125,51,6,3,
"S01019540",173,0,0,0,0,0,158,0,0,0,0,0,74,16,4,173,158,74,16,4,
"S01019541",156,0,0,0,0,0,145,0,0,0,0,0,45,7,1,156,145,45,7,1,
"S01019542",105,0,0,0,0,0,160,0,0,0,0,0,75,26,4,105,160,75,26,4,
"S01019543",157,0,0,0,0,0,190,0,0,0,0,0,91,15,3,157,190,91,15,3,
"S01019544",71,0,0,0,0,0,117,0,0,0,0,0,77,23,1,71,117,77,23,1,
"S01019545",64,0,0,0,0,0,109,0,0,0,0,0,69,17,4,64,109,69,17,4,
"S01019546",58,0,0,0,0,0,109,0,0,0,0,0,66,18,2,58,109,66,18,2,
"S01019547",23,0,0,0,0,0,176,0,0,0,0,0,107,16,3,23,176,107,16,3,
"S01019548",30,0,0,0,0,0,184,0,0,0,0,0,147,38,5,30,184,147,38,5,
"S01019549",7,0,0,0,0,0,81,0,0,0,0,0,141,36,17,7,81,141,36,17,
"S01019550",25,0,0,0,0,0,104,0,0,0,0,0,143,30,12,25,104,143,30,12,
"S01019551",11,0,0,0,0,0,112,0,0,0,0,0,155,46,9,11,112,155,46,9,
"S01019552",24,0,0,0,0,0,132,0,0,0,0,0,166,48,14,24,132,166,48,14,
"S01019553",11,0,0,0,0,0,76,0,0,0,0,0,103,15,9,11,76,103,15,9,
"S01019554",42,0,0,0,0,0,123,0,0,0,0,0,131,27,8,42,123,131,27,8,
"S01019555",16,0,0,0,0,0,98,0,0,0,0,0,148,33,15,16,98,148,33,15,
"S01019556",82,0,0,0,0,0,189,0,0,0,0,0,82,15,4,82,189,82,15,4,
"S01019557",71,0,0,0,0,0,116,0,0,0,0,0,63,8,2,71,116,63,8,2,
"S01019558",71,0,0,0,0,0,175,0,0,0,0,0,114,20,7,71,175,114,20,7,
"S01019559",11,0,0,0,0,0,72,0,0,0,0,0,112,22,9,11,72,112,22,9,
"S01019560",14,0,0,0,0,0,98,0,0,0,0,0,165,41,18,14,98,165,41,18,
"S01019561",22,0,0,0,0,0,78,0,0,0,0,0,118,24,7,22,78,118,24,7,
"S01019562",4,0,0,0,0,0,103,0,0,0,0,0,167,46,22,4,103,167,46,22,
"S01019563",58,0,0,0,0,0,183,0,0,0,0,0,126,30,5,58,183,126,30,5,
"S01019564",17,0,0,0,0,0,129,0,0,0,0,0,159,33,12,17,129,159,33,12,
"S01019565",19,0,0,0,0,0,116,0,0,0,0,0,128,47,10,19,116,128,47,10,
"S01019566",17,0,0,0,0,0,124,0,0,0,0,0,138,39,21,17,124,138,39,21,
"S01019567",27,0,0,0,0,0,145,0,0,0,0,0,154,41,17,27,145,154,41,17,
"S01019568",15,0,0,0,0,0,103,0,0,0,0,0,142,43,20,15,103,142,43,20,
"S01019569",57,0,0,0,0,0,126,0,0,0,0,0,54,15,0,57,126,54,15,0,
"S01019570",131,0,0,0,0,0,184,0,0,0,0,0,73,17,3,131,184,73,17,3,
"S01019571",62,0,0,0,0,0,122,0,0,0,0,0,64,17,3,62,122,64,17,3,
"S01019572",173,0,0,0,0,0,257,0,0,0,0,0,67,12,5,173,257,67,12,5,
"S01019573",95,0,0,0,0,0,199,0,0,0,0,0,99,10,3,95,199,99,10,3,
"S01019574",173,0,0,0,0,0,247,0,0,0,0,0,81,25,7,173,247,81,25,7,
"S01019575",18,0,0,0,0,0,113,0,0,0,0,0,93,14,4,18,113,93,14,4,
"S01019576",74,0,0,0,0,0,208,0,0,0,0,0,117,25,5,74,208,117,25,5,
"S01019577",41,0,0,0,0,0,150,0,0,0,0,0,130,29,9,41,150,130,29,9,
"S01019578",28,0,0,0,0,0,119,0,0,0,0,0,101,28,8,28,119,101,28,8,
"S01019579",82,0,0,0,0,0,141,0,0,0,0,0,136,27,14,82,141,136,27,14,
"S01019580",14,0,0,0,0,0,98,0,0,0,0,0,85,14,4,14,98,85,14,4,
"S01019581",47,0,0,0,0,0,102,0,0,0,0,0,83,16,5,47,102,83,16,5,
"S01019582",51,0,0,0,0,0,146,0,0,0,0,0,64,17,4,51,146,64,17,4,
"S01019583",87,0,0,0,0,0,152,0,0,0,0,0,71,19,1,87,152,71,19,1,
"S01019584",56,0,0,0,0,0,134,0,0,0,0,0,96,10,6,56,134,96,10,6,
"S01019585",34,0,0,0,0,0,173,0,0,0,0,0,118,23,4,34,173,118,23,4,
"S01019586",18,0,0,0,0,0,127,0,0,0,0,0,146,37,9,18,127,146,37,9,
"S01019587",19,0,0,0,0,0,135,0,0,0,0,0,180,43,21,19,135,180,43,21,
"S01019588",79,0,0,0,0,0,195,0,0,0,0,0,80,20,11,79,195,80,20,11,
"S01019589",27,0,0,0,0,0,155,0,0,0,0,0,141,40,7,27,155,141,40,7,
"S01019590",11,0,0,0,0,0,94,0,0,0,0,0,96,24,15,11,94,96,24,15,
"S01019591",79,0,0,0,0,0,191,0,0,0,0,0,144,43,14,79,191,144,43,14,
"S01019592",62,0,0,0,0,0,167,0,0,0,0,0,101,23,11,62,167,101,23,11,
"S01019593",9,0,0,0,0,0,79,0,0,0,0,0,94,27,17,9,79,94,27,17,
"S01019594",13,0,0,0,0,0,76,0,0,0,0,0,102,24,6,13,76,102,24,6,
"S01019595",40,0,0,0,0,0,149,0,0,0,0,0,94,24,8,40,149,94,24,8,
"S01019596",103,0,0,0,0,0,216,0,0,0,0,0,115,16,2,103,216,115,16,2,
"S01019597",178,0,0,0,0,0,230,0,0,0,0,0,60,4,4,178,230,60,4,4,
"S01019598",80,0,0,0,0,0,189,0,0,0,0,0,109,19,6,80,189,109,19,6,
"S01019599",94,0,0,0,0,0,176,0,0,0,0,0,69,8,2,94,176,69,8,2,
"S01019600",54,0,0,0,0,0,142,0,0,0,0,0,64,7,1,54,142,64,7,1,
"S01019601",199,0,0,0,0,0,180,0,0,0,0,0,48,8,4,199,180,48,8,4,
"S01019602",155,0,0,0,0,0,190,0,0,0,0,0,47,12,4,155,190,47,12,4,
"S01019603",107,0,0,0,0,0,182,0,0,0,0,0,100,24,6,107,182,100,24,6,
"S01019604",121,0,0,0,0,0,173,0,0,0,0,0,56,10,4,121,173,56,10,4,
"S01019605",93,0,0,0,0,0,211,0,0,0,0,0,100,25,0,93,211,100,25,0,
"S01019606",94,0,0,0,0,0,161,0,0,0,0,0,105,21,12,94,161,105,21,12,
"S01019607",148,0,0,0,0,0,217,0,0,0,0,0,68,10,2,148,217,68,10,2,
"S01019608",65,0,0,0,0,0,125,0,0,0,0,0,71,20,8,65,125,71,20,8,
"S01019609",107,0,0,0,0,0,178,0,0,0,0,0,80,16,2,107,178,80,16,2,
"S01019610",228,0,0,0,0,0,174,0,0,0,0,0,54,12,4,228,174,54,12,4,
"S01019611",146,0,0,0,0,0,157,0,0,0,0,0,50,4,4,146,157,50,4,4,
"S01019612",19,0,0,0,0,0,115,0,0,0,0,0,80,8,5,19,115,80,8,5,
"S01019613",19,0,0,0,0,0,113,0,0,0,0,0,94,22,3,19,113,94,22,3,
"S01019614",33,0,0,0,0,0,152,0,0,0,0,0,73,16,10,33,152,73,16,10,
"S01019615",55,0,0,0,0,0,157,0,0,0,0,0,74,20,6,55,157,74,20,6,
"S01019616",27,0,0,0,0,0,134,0,0,0,0,0,97,27,4,27,134,97,27,4,
"S01019617",44,0,0,0,0,0,217,0,0,0,0,0,156,20,17,44,217,156,20,17,
"S01019618",57,0,0,0,0,0,163,0,0,0,0,0,66,11,6,57,163,66,11,6,
"S01019619",21,0,0,0,0,0,122,0,0,0,0,0,109,26,7,21,122,109,26,7,
"S01019620",24,0,0,0,0,0,119,0,0,0,0,0,65,19,5,24,119,65,19,5,
"S01019621",36,0,0,0,0,0,183,0,0,0,0,0,109,17,7,36,183,109,17,7,
"S01019622",27,0,0,0,0,0,145,0,0,0,0,0,153,37,15,27,145,153,37,15,
"S01019623",9,0,0,0,0,0,77,0,0,0,0,0,128,45,22,9,77,128,45,22,
"S01019624",47,0,0,0,0,0,175,0,0,0,0,0,146,34,7,47,175,146,34,7,
"S01019625",16,0,0,0,0,0,90,0,0,0,0,0,129,35,15,16,90,129,35,15,
"S01019626",42,0,0,0,0,0,137,0,0,0,0,0,87,17,16,42,137,87,17,16,
"S01019627",25,0,0,0,0,0,177,0,0,0,0,0,159,42,18,25,177,159,42,18,
"S01019628",13,0,0,0,0,0,99,0,0,0,0,0,92,32,12,13,99,92,32,12,
"S01019629",13,0,0,0,0,0,138,0,0,0,0,0,161,48,19,13,138,161,48,19,
"S01019630",9,0,0,0,0,0,87,0,0,0,0,0,89,22,14,9,87,89,22,14,
"S01019631",15,0,0,0,0,0,84,0,0,0,0,0,88,23,16,15,84,88,23,16,
"S01019632",116,0,0,0,0,0,215,0,0,0,0,0,99,23,11,116,215,99,23,11,
"S01019633",116,0,0,0,0,0,156,0,0,0,0,0,65,17,10,116,156,65,17,10,
"S01019634",92,0,0,0,0,0,153,0,0,0,0,0,62,14,6,92,153,62,14,6,
"S01019635",39,0,0,0,0,0,169,0,0,0,0,0,127,23,13,39,169,127,23,13,
"S01019636",37,0,0,0,0,0,154,0,0,0,0,0,81,18,8,37,154,81,18,8,
"S01019637",22,0,0,0,0,0,114,0,0,0,0,0,70,26,10,22,114,70,26,10,
"S01019638",20,0,0,0,0,0,108,0,0,0,0,0,100,29,4,20,108,100,29,4,
"S01019639",32,0,0,0,0,0,118,0,0,0,0,0,80,22,6,32,118,80,22,6,
"S01019640",20,0,0,0,0,0,111,0,0,0,0,0,81,29,10,20,111,81,29,10,
"S01019641",13,0,0,0,0,0,94,0,0,0,0,0,83,27,11,13,94,83,27,11,
"S01019642",31,0,0,0,0,0,144,0,0,0,0,0,110,45,9,31,144,110,45,9,
"S01019643",85,0,0,0,0,0,172,0,0,0,0,0,91,27,9,85,172,91,27,9,
"S01019644",139,0,0,0,0,0,175,0,0,0,0,0,66,12,2,139,175,66,12,2,
"S01019645",71,0,0,0,0,0,162,0,0,0,0,0,55,8,4,71,162,55,8,4,
"S01019646",49,0,0,0,0,0,121,0,0,0,0,0,86,20,9,49,121,86,20,9,
"S01019647",52,0,0,0,0,0,175,0,0,0,0,0,79,13,7,52,175,79,13,7,
"S01019648",16,0,0,0,0,0,151,0,0,0,0,0,124,31,14,16,151,124,31,14,
"S01019649",31,0,0,0,0,0,142,0,0,0,0,0,77,19,4,31,142,77,19,4,
"S01019650",46,0,0,0,0,0,193,0,0,0,0,0,136,26,10,46,193,136,26,10,
"S01019651",15,0,0,0,0,0,105,0,0,0,0,0,87,24,9,15,105,87,24,9,
"S01019652",18,0,0,0,0,0,91,0,0,0,0,0,113,21,14,18,91,113,21,14,
"S01019653",19,0,0,0,0,0,147,0,0,0,0,0,176,46,21,19,147,176,46,21,
"S01019654",17,0,0,0,0,0,184,0,0,0,0,0,150,49,8,17,184,150,49,8,
"S01019655",55,0,0,0,0,0,206,0,0,0,0,0,98,24,7,55,206,98,24,7,
"S01019656",92,0,0,0,0,0,131,0,0,0,0,0,56,17,6,92,131,56,17,6,
"S01019657",74,0,0,0,0,0,182,0,0,0,0,0,97,22,6,74,182,97,22,6,
"S01019658",33,0,0,0,0,0,169,0,0,0,0,0,78,16,4,33,169,78,16,4,
"S01019659",27,0,0,0,0,0,191,0,0,0,0,0,121,34,18,27,191,121,34,18,
"S01019660",14,0,0,0,0,0,126,0,0,0,0,0,106,40,15,14,126,106,40,15,
"S01019661",14,0,0,0,0,0,74,0,0,0,0,0,112,33,13,14,74,112,33,13,
"S01019662",24,0,0,0,0,0,174,0,0,0,0,0,128,46,15,24,174,128,46,15,
"S01019663",84,0,0,0,0,0,205,0,0,0,0,0,100,23,6,84,205,100,23,6,
"S01019664",41,0,0,0,0,0,209,0,0,0,0,0,121,25,13,41,209,121,25,13,
"S01019665",51,0,0,0,0,0,143,0,0,0,0,0,70,17,8,51,143,70,17,8,
"S01019666",170,0,0,0,0,0,196,0,0,0,0,0,64,14,4,170,196,64,14,4,
"S01019667",13,0,0,0,0,0,109,0,0,0,0,0,107,15,9,13,109,107,15,9,
"S01019668",81,0,0,0,0,0,158,0,0,0,0,0,64,13,4,81,158,64,13,4,
"S01019669",31,0,0,0,0,0,147,0,0,0,0,0,92,13,4,31,147,92,13,4,
"S01019670",9,0,0,0,0,0,112,0,0,0,0,0,114,28,5,9,112,114,28,5,
"S01019671",113,0,0,0,0,0,196,0,0,0,0,0,67,20,4,113,196,67,20,4,
"S01019672",136,0,0,0,0,0,194,0,0,0,0,0,49,8,6,136,194,49,8,6,
"S01019673",16,0,0,0,0,0,126,0,0,0,0,0,166,47,17,16,126,166,47,17,
"S01019674",31,0,0,0,0,0,177,0,0,0,0,0,164,42,18,31,177,164,42,18,
"S01019675",23,0,0,0,0,0,185,0,0,0,0,0,184,44,24,23,185,184,44,24,
"S01019676",41,0,0,0,0,0,183,0,0,0,0,0,93,28,11,41,183,93,28,11,
"S01019677",78,0,0,0,0,0,180,0,0,0,0,0,110,25,12,78,180,110,25,12,
"S01019678",20,0,0,0,0,0,135,0,0,0,0,0,148,34,16,20,135,148,34,16,
"S01019679",52,0,0,0,0,0,181,0,0,0,0,0,115,16,6,52,181,115,16,6,
"S01019680",38,0,0,0,0,0,147,0,0,0,0,0,93,20,10,38,147,93,20,10,
"S01019681",100,0,0,0,0,0,204,0,0,0,0,0,100,21,6,100,204,100,21,6,
"S01019682",65,0,0,0,0,0,189,0,0,0,0,0,102,28,5,65,189,102,28,5,
"S01019683",91,0,0,0,0,0,196,0,0,0,0,0,98,26,8,91,196,98,26,8,
"S01019684",88,0,0,0,0,0,155,0,0,0,0,0,92,14,5,88,155,92,14,5,
"S01019685",135,0,0,0,0,0,181,0,0,0,0,0,66,11,4,135,181,66,11,4,
"S01019686",81,0,0,0,0,0,183,0,0,0,0,0,96,24,9,81,183,96,24,9,
"S01019687",24,0,0,0,0,0,152,0,0,0,0,0,185,46,20,24,152,185,46,20,
"S01019688",27,0,0,0,0,0,172,0,0,0,0,0,97,30,14,27,172,97,30,14,
"S01019689",16,0,0,0,0,0,119,0,0,0,0,0,178,47,28,16,119,178,47,28,
"S01019690",19,0,0,0,0,0,154,0,0,0,0,0,146,50,17,19,154,146,50,17,
"S01019691",105,0,0,0,0,0,142,0,0,0,0,0,51,16,1,105,142,51,16,1,
"S01019692",111,0,0,0,0,0,140,0,0,0,0,0,43,11,3,111,140,43,11,3,
"S01019693",84,0,0,0,0,0,126,0,0,0,0,0,50,7,3,84,126,50,7,3,
"S01019694",97,0,0,0,0,0,136,0,0,0,0,0,51,5,6,97,136,51,5,6,
"S01019695",130,0,0,0,0,0,138,0,0,0,0,0,41,9,2,130,138,41,9,2,
"S01019696",177,0,0,0,0,0,133,0,0,0,0,0,42,9,3,177,133,42,9,3,
"S01019697",150,0,0,0,0,0,173,0,0,0,0,0,66,18,2,150,173,66,18,2,
"S01019698",59,0,0,0,0,0,196,0,0,0,0,0,94,26,8,59,196,94,26,8,
"S01019699",132,0,0,0,0,0,198,0,0,0,0,0,49,12,4,132,198,49,12,4,
"S01019700",64,0,0,0,0,0,190,0,0,0,0,0,115,26,6,64,190,115,26,6,
"S01019701",41,0,0,0,0,0,132,0,0,0,0,0,110,18,5,41,132,110,18,5,
"S01019702",66,0,0,0,0,0,179,0,0,0,0,0,100,18,16,66,179,100,18,16,
"S01019703",169,0,0,0,0,0,193,0,0,0,0,0,86,31,12,169,193,86,31,12,
"S01019704",155,0,0,0,0,0,258,0,0,0,0,0,69,14,1,155,258,69,14,1,
"S01019705",203,0,0,0,0,0,192,0,0,0,0,0,38,2,3,203,192,38,2,3,
"S01019706",114,0,0,0,0,0,206,0,0,0,0,0,98,34,10,114,206,98,34,10,
"S01019707",63,0,0,0,0,0,198,0,0,0,0,0,109,23,7,63,198,109,23,7,
"S01019708",136,0,0,0,0,0,196,0,0,0,0,0,67,14,10,136,196,67,14,10,
"S01019709",22,0,0,0,0,0,167,0,0,0,0,0,163,56,21,22,167,163,56,21,
"S01019710",24,0,0,0,0,0,134,0,0,0,0,0,111,40,14,24,134,111,40,14,
"S01019711",13,0,0,0,0,0,108,0,0,0,0,0,112,32,19,13,108,112,32,19,
"S01019712",12,0,0,0,0,0,111,0,0,0,0,0,91,29,12,12,111,91,29,12,
"S01019713",90,0,0,0,0,0,201,0,0,0,0,0,109,16,12,90,201,109,16,12,
"S01019714",147,0,0,0,0,0,198,0,0,0,0,0,95,13,5,147,198,95,13,5,
"S01019715",50,0,0,0,0,0,204,0,0,0,0,0,135,34,11,50,204,135,34,11,
"S01019716",85,0,0,0,0,0,224,0,0,0,0,0,89,11,9,85,224,89,11,9,
"S01019717",64,0,0,0,0,0,154,0,0,0,0,0,82,10,6,64,154,82,10,6,
"S01019718",40,0,0,0,0,0,160,0,0,0,0,0,102,21,13,40,160,102,21,13,
"S01019719",135,0,0,0,0,0,162,0,0,0,0,0,62,21,8,135,162,62,21,8,
"S01019720",55,0,0,0,0,0,153,0,0,0,0,0,141,35,17,55,153,141,35,17,
"S01019721",31,0,0,0,0,0,162,0,0,0,0,0,103,31,19,31,162,103,31,19,
"S01019722",45,0,0,0,0,0,163,0,0,0,0,0,151,28,12,45,163,151,28,12,
"S01019723",34,0,0,0,0,0,111,0,0,0,0,0,114,33,23,34,111,114,33,23,
"S01019724",12,0,0,0,0,0,102,0,0,0,0,0,100,25,18,12,102,100,25,18,
"S01019725",48,0,0,0,0,0,139,0,0,0,0,0,108,25,13,48,139,108,25,13,
"S01019726",62,0,0,0,0,0,144,0,0,0,0,0,108,19,10,62,144,108,19,10,
"S01019727",83,0,0,0,0,0,126,0,0,0,0,0,51,14,3,83,126,51,14,3,
"S01019728",69,0,0,0,0,0,110,0,0,0,0,0,53,7,3,69,110,53,7,3,
"S01019729",140,0,0,0,0,0,253,0,0,0,0,0,81,23,6,140,253,81,23,6,
"S01019730",50,0,0,0,0,0,119,0,0,0,0,0,74,9,5,50,119,74,9,5,
"S01019731",123,0,0,0,0,0,214,0,0,0,0,0,69,18,0,123,214,69,18,0,
"S01019732",83,0,0,0,0,0,165,0,0,0,0,0,65,10,5,83,165,65,10,5,
"S01019733",102,0,0,0,0,0,156,0,0,0,0,0,47,8,0,102,156,47,8,0,
"S01019734",144,0,0,0,0,0,221,0,0,0,0,0,79,17,9,144,221,79,17,9,
"S01019735",32,0,0,0,0,0,115,0,0,0,0,0,101,23,10,32,115,101,23,10,
"S01019736",10,0,0,0,0,0,129,0,0,0,0,0,101,33,2,10,129,101,33,2,
"S01019737",38,0,0,0,0,0,185,0,0,0,0,0,159,37,17,38,185,159,37,17,
"S01019738",86,0,0,0,0,0,200,0,0,0,0,0,88,24,12,86,200,88,24,12,
"S01019739",39,0,0,0,0,0,155,0,0,0,0,0,170,50,20,39,155,170,50,20,
"S01019740",25,0,0,0,0,0,101,0,0,0,0,0,120,24,19,25,101,120,24,19,
"S01019741",16,0,0,0,0,0,100,0,0,0,0,0,94,36,10,16,100,94,36,10,
"S01019742",20,0,0,0,0,0,99,0,0,0,0,0,91,33,19,20,99,91,33,19,
"S01019743",25,0,0,0,0,0,121,0,0,0,0,0,106,29,12,25,121,106,29,12,
"S01019744",58,0,0,0,0,0,187,0,0,0,0,0,142,50,15,58,187,142,50,15,
"S01019745",56,0,0,0,0,0,206,0,0,0,0,0,128,38,12,56,206,128,38,12,
"S01019746",46,0,0,0,0,0,136,0,0,0,0,0,87,36,9,46,136,87,36,9,
"S01019747",61,0,0,0,0,0,198,0,0,0,0,0,117,43,16,61,198,117,43,16,
"S01019748",54,0,0,0,0,0,153,0,0,0,0,0,112,16,12,54,153,112,16,12,
"S01019749",26,0,0,0,0,0,87,0,0,0,0,0,81,23,12,26,87,81,23,12,
"S01019750",23,0,0,0,0,0,94,0,0,0,0,0,72,24,10,23,94,72,24,10,
"S01019751",50,0,0,0,0,0,137,0,0,0,0,0,70,12,7,50,137,70,12,7,
"S01019752",30,0,0,0,0,0,151,0,0,0,0,0,123,35,14,30,151,123,35,14,
"S01019753",18,0,0,0,0,0,133,0,0,0,0,0,110,35,17,18,133,110,35,17,
"S01019754",93,0,0,0,0,0,204,0,0,0,0,0,105,30,8,93,204,105,30,8,
"S01019755",38,0,0,0,0,0,108,0,0,0,0,0,81,24,13,38,108,81,24,13,
"S01019756",50,0,0,0,0,0,169,0,0,0,0,0,129,29,15,50,169,129,29,15,
"S01019757",32,0,0,0,0,0,138,0,0,0,0,0,135,32,18,32,138,135,32,18,
"S01019758",141,0,0,0,0,0,201,0,0,0,0,0,107,14,7,141,201,107,14,7,
"S01019759",187,0,0,0,0,0,210,0,0,0,0,0,57,19,1,187,210,57,19,1,
"S01019760",105,0,0,0,0,0,121,0,0,0,0,0,55,12,1,105,121,55,12,1,
"S01019761",97,0,0,0,0,0,130,0,0,0,0,0,36,11,0,97,130,36,11,0,
"S01019762",55,0,0,0,0,0,113,0,0,0,0,0,53,3,1,55,113,53,3,1,
"S01019763",59,0,0,0,0,0,137,0,0,0,0,0,70,7,4,59,137,70,7,4,
"S01019764",136,0,0,0,0,0,219,0,0,0,0,0,87,24,7,136,219,87,24,7,
"S01019765",101,0,0,0,0,0,171,0,0,0,0,0,63,14,8,101,171,63,14,8,
"S01019766",105,0,0,0,0,0,126,0,0,0,0,0,43,7,3,105,126,43,7,3,
"S01019767",90,0,0,0,0,0,138,0,0,0,0,0,40,17,6,90,138,40,17,6,
"S01019768",112,0,0,0,0,0,128,0,0,0,0,0,60,11,6,112,128,60,11,6,
"S01019769",81,0,0,0,0,0,129,0,0,0,0,0,59,17,6,81,129,59,17,6,
"S01019770",52,0,0,0,0,0,118,0,0,0,0,0,71,18,7,52,118,71,18,7,
"S01019771",51,0,0,0,0,0,125,0,0,0,0,0,110,26,14,51,125,110,26,14,
"S01019772",94,0,0,0,0,0,129,0,0,0,0,0,76,23,9,94,129,76,23,9,
"S01019773",26,0,0,0,0,0,110,0,0,0,0,0,71,21,12,26,110,71,21,12,
"S01019774",32,0,0,0,0,0,138,0,0,0,0,0,152,30,17,32,138,152,30,17,
"S01019775",16,0,0,0,0,0,128,0,0,0,0,0,105,26,11,16,128,105,26,11,
"S01019776",28,0,0,0,0,0,158,0,0,0,0,0,144,45,22,28,158,144,45,22,
"S01019777",54,0,0,0,0,0,171,0,0,0,0,0,84,19,4,54,171,84,19,4,
"S01019778",29,0,0,0,0,0,177,0,0,0,0,0,151,32,15,29,177,151,32,15,
"S01019779",29,0,0,0,0,0,125,0,0,0,0,0,107,49,19,29,125,107,49,19,
"S01019780",30,0,0,0,0,0,117,0,0,0,0,0,81,16,6,30,117,81,16,6,
"S01019781",10,0,0,0,0,0,104,0,0,0,0,0,108,37,13,10,104,108,37,13,
"S01019782",14,0,0,0,0,0,122,0,0,0,0,0,88,8,0,14,122,88,8,0,
"S01019783",21,0,0,0,0,0,112,0,0,0,0,0,88,10,4,21,112,88,10,4,
"S01019784",52,0,0,0,0,0,233,0,0,0,0,0,185,46,10,52,233,185,46,10,
"S01019785",31,0,0,0,0,0,182,0,0,0,0,0,85,20,4,31,182,85,20,4,
"S01019786",18,0,0,0,0,0,85,0,0,0,0,0,158,30,12,18,85,158,30,12,
"S01019787",25,0,0,0,0,0,146,0,0,0,0,0,173,33,11,25,146,173,33,11,
"S01019788",15,0,0,0,0,0,91,0,0,0,0,0,74,19,7,15,91,74,19,7,
"S01019789",14,0,0,0,0,0,92,0,0,0,0,0,144,32,12,14,92,144,32,12,
"S01019790",43,0,0,0,0,0,190,0,0,0,0,0,138,23,13,43,190,138,23,13,
"S01019791",16,0,0,0,0,0,77,0,0,0,0,0,111,39,16,16,77,111,39,16,
"S01019792",22,0,0,0,0,0,112,0,0,0,0,0,126,33,11,22,112,126,33,11,
"S01019793",42,0,0,0,0,0,220,0,0,0,0,0,193,43,18,42,220,193,43,18,
"S01019794",23,0,0,0,0,0,135,0,0,0,0,0,138,27,10,23,135,138,27,10,
"S01019795",26,0,0,0,0,0,118,0,0,0,0,0,108,31,8,26,118,108,31,8,
"S01019796",23,0,0,0,0,0,117,0,0,0,0,0,74,17,10,23,117,74,17,10,
"S01019797",89,0,0,0,0,0,118,0,0,0,0,0,48,9,1,89,118,48,9,1,
"S01019798",83,0,0,0,0,0,112,0,0,0,0,0,42,7,1,83,112,42,7,1,
"S01019799",89,0,0,0,0,0,138,0,0,0,0,0,57,8,5,89,138,57,8,5,
"S01019800",77,0,0,0,0,0,130,0,0,0,0,0,76,23,4,77,130,76,23,4,
"S01019801",138,0,0,0,0,0,166,0,0,0,0,0,55,10,4,138,166,55,10,4,
"S01019802",52,0,0,0,0,0,128,0,0,0,0,0,58,14,8,52,128,58,14,8,
"S01019803",82,0,0,0,0,0,183,0,0,0,0,0,94,15,9,82,183,94,15,9,
"S01019804",145,0,0,0,0,0,220,0,0,0,0,0,97,17,4,145,220,97,17,4,
"S01019805",53,0,0,0,0,0,115,0,0,0,0,0,60,8,2,53,115,60,8,2,
"S01019806",25,0,0,0,0,0,91,0,0,0,0,0,74,24,8,25,91,74,24,8,
"S01019807",137,0,0,0,0,0,216,0,0,0,0,0,94,18,8,137,216,94,18,8,
"S01019808",56,0,0,0,0,0,140,0,0,0,0,0,76,17,7,56,140,76,17,7,
"S01019809",97,0,0,0,0,0,184,0,0,0,0,0,109,25,4,97,184,109,25,4,
"S01019810",12,0,0,0,0,0,131,0,0,0,0,0,92,21,5,12,131,92,21,5,
"S01019811",85,0,0,0,0,0,197,0,0,0,0,0,106,22,5,85,197,106,22,5,
"S01019812",18,0,0,0,0,0,106,0,0,0,0,0,104,29,6,18,106,104,29,6,
