SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01017863",64,158,65,10,5,298,
"S01017864",32,160,122,37,11,362,
"S01017865",77,160,101,22,4,360,
"S01017866",22,114,70,21,11,241,
"S01017867",29,146,101,17,7,300,
"S01017868",19,102,126,45,11,303,
"S01017869",47,184,128,43,24,426,
"S01017870",29,201,159,56,24,469,
"S01017871",30,157,107,36,18,348,
"S01017872",15,83,104,32,11,248,
"S01017873",21,96,87,34,8,246,
"S01017874",43,194,161,35,15,446,
"S01017875",24,163,157,54,17,415,
"S01017876",13,123,145,59,23,358,
"S01017877",52,144,77,14,5,291,
"S01017878",56,149,108,14,8,335,
"S01017879",19,135,106,31,6,292,
"S01017880",54,159,111,22,5,348,
"S01017881",32,133,116,17,11,313,
"S01017882",12,62,90,34,14,212,
"S01017883",32,131,75,15,9,264,
"S01017884",40,125,102,26,11,308,
"S01017885",53,174,67,18,8,318,
"S01017886",44,138,117,35,15,350,
"S01017887",63,129,71,22,8,291,
"S01017888",42,107,59,16,6,229,
"S01017889",130,146,42,7,5,330,
"S01017890",96,173,73,26,6,373,
"S01017891",132,245,84,20,9,486,
"S01017892",45,174,109,13,12,351,
"S01017893",76,214,125,41,21,477,
"S01017894",35,176,139,45,11,407,
"S01017895",23,211,200,41,17,490,
"S01017896",69,187,133,35,13,424,
"S01017897",42,128,106,9,7,292,
"S01017898",68,218,151,30,11,478,
"S01017899",44,143,94,15,10,302,
"S01017900",63,197,103,22,4,389,
"S01017901",20,122,164,49,31,386,
"S01017902",9,94,121,35,23,282,
"S01017903",7,81,94,33,6,226,
"S01017904",17,91,122,33,24,283,
"S01017905",20,154,176,44,30,425,
"S01017906",77,182,111,39,9,418,
"S01017907",81,167,67,14,3,332,
"S01017908",58,126,49,11,1,245,
"S01017909",114,156,73,18,8,369,
"S01017910",97,118,61,12,3,291,
"S01017911",22,105,77,26,1,234,
"S01017912",93,166,61,15,2,337,
"S01017913",93,125,86,12,8,327,
"S01017914",59,123,56,10,2,248,
"S01017915",105,186,93,21,5,411,
"S01017916",108,114,24,4,5,258,
"S01017917",36,160,147,36,11,387,
"S01017918",85,166,69,17,10,347,
"S01017919",77,122,60,7,2,270,
"S01017920",61,227,120,36,9,453,
"S01017921",126,145,49,14,5,338,
"S01017922",35,202,154,49,21,464,
"S01017923",72,168,91,31,11,373,
"S01017924",30,125,112,24,7,298,
"S01017925",24,107,107,20,19,277,
"S01017926",23,132,96,23,8,282,
"S01017927",101,170,76,15,6,368,
"S01017928",88,162,94,7,7,360,
"S01017929",118,229,123,29,12,500,
"S01017930",104,140,56,11,3,314,
"S01017931",53,128,60,11,3,258,
"S01017932",36,152,78,27,7,308,
"S01017933",31,160,130,33,6,360,
"S01017934",26,156,121,37,14,352,
"S01017935",65,148,65,15,8,300,
"S01017936",57,188,91,9,9,351,
"S01017937",15,81,89,27,5,219,
"S01017938",23,105,93,35,13,271,
"S01017939",37,156,93,31,13,330,
"S01017940",17,135,100,32,18,302,
"S01017941",46,257,147,44,16,507,
"S01017942",77,177,98,24,15,388,
"S01017943",85,172,81,14,4,357,
"S01017944",83,130,41,18,9,278,
"S01017945",18,108,94,21,12,253,
"S01017946",72,182,81,23,9,371,
"S01017947",82,210,110,25,17,444,
"S01017948",49,194,118,34,12,406,
"S01017949",33,148,121,43,16,360,
"S01017950",52,165,94,25,6,340,
"S01017951",35,133,130,44,14,355,
"S01017952",75,124,53,10,2,261,
"S01017953",107,104,25,7,2,251,
"S01017954",105,102,42,9,2,260,
"S01017955",132,156,47,13,4,352,
"S01017956",74,115,56,13,6,262,
"S01017957",80,172,77,24,2,351,
"S01017958",90,151,45,8,2,299,
"S01017959",100,117,46,3,2,264,
"S01017960",115,145,51,8,4,323,
"S01017961",52,134,87,15,10,294,
"S01017962",25,152,91,22,12,300,
"S01017963",47,155,124,46,25,395,
"S01017964",43,113,89,33,15,293,
"S01017965",24,137,87,37,18,301,
"S01017966",28,123,105,39,25,317,
"S01017967",40,163,146,48,21,417,
"S01017968",81,127,57,17,6,288,
"S01017969",19,108,100,36,15,275,
"S01017970",37,113,81,35,9,275,
"S01017971",60,238,133,38,12,480,
"S01017972",24,130,136,46,26,363,
"S01017973",30,121,143,24,16,334,
"S01017974",25,116,106,31,17,297,
"S01017975",163,209,39,8,1,420,
"S01017976",112,197,53,20,0,382,
"S01017977",109,157,59,14,2,341,
"S01017978",55,111,48,14,7,234,
"S01017979",84,211,94,17,8,414,
"S01017980",165,199,70,16,2,454,
"S01017981",92,124,45,14,2,277,
"S01017982",63,162,67,8,10,303,
"S01017983",52,122,50,10,0,239,
"S01017984",34,107,58,12,0,216,
"S01017985",32,146,103,15,5,302,
"S01017986",34,111,88,23,7,263,
"S01017987",47,186,135,39,18,426,
"S01017988",52,199,100,31,9,388,
"S01017989",47,117,51,16,8,235,
"S01017990",32,162,125,25,15,361,
"S01017991",64,117,87,34,15,314,
"S01017992",38,148,140,41,13,377,
"S01017993",64,220,153,40,12,489,
"S01017994",45,146,79,13,6,285,
"S01017995",13,82,86,27,12,219,
"S01017996",17,81,105,31,7,240,
"S01017997",21,107,126,25,6,281,
"S01017998",26,87,97,21,4,232,
"S01017999",4,72,102,43,16,241,
"S01018000",9,97,161,52,13,332,
"S01018001",21,131,115,35,3,310,
"S01018002",11,88,70,38,7,215,
"S01018003",13,76,85,25,9,205,
"S01018004",6,70,105,35,11,221,
"S01018005",59,226,159,19,4,467,
"S01018006",41,142,86,23,5,291,
"S01018007",6,40,120,25,14,200,
"S01018008",20,126,135,50,15,348,
"S01018009",59,249,161,25,6,498,
"S01018010",25,83,91,23,3,229,
"S01018011",52,192,122,20,2,393,
"S01018012",60,137,101,10,7,318,
"S01018013",80,123,79,31,4,317,
"S01018014",69,167,80,15,6,337,
"S01018015",108,133,36,7,1,285,
"S01018016",101,221,74,10,3,407,
"S01018017",263,222,38,7,6,534,
"S01018018",185,207,42,4,5,444,
"S01018019",49,124,86,19,3,281,
"S01018020",47,101,66,14,4,231,
"S01018021",88,132,48,12,2,281,
"S01018022",25,118,83,18,6,251,
"S01018023",28,118,76,21,4,248,
"S01018024",86,150,70,11,3,319,
"S01018025",101,180,90,16,9,400,
"S01018026",169,178,102,31,4,480,
"S01018027",112,127,51,13,2,305,
"S01018028",132,129,81,18,7,366,
"S01018029",125,126,52,7,5,315,
"S01018030",154,163,67,19,4,407,
"S01018031",85,87,37,2,1,216,
"S01018032",140,187,61,7,8,404,
"S01018033",68,141,92,21,5,329,
"S01018034",97,129,42,9,2,275,
"S01018035",138,191,77,23,4,429,
"S01018036",113,130,53,10,1,310,
"S01018037",138,134,46,2,0,320,
"S01018038",138,115,37,11,0,299,
"S01018039",35,135,92,15,11,290,
"S01018040",32,112,93,22,6,268,
"S01018041",63,204,128,35,2,429,
"S01018042",59,132,87,15,9,300,
"S01018043",45,132,94,16,5,292,
"S01018044",59,124,88,13,6,288,
"S01018045",26,108,107,28,12,279,
"S01018046",115,190,52,11,4,372,
"S01018047",91,180,97,11,6,383,
"S01018048",169,207,38,8,2,420,
"S01018049",221,97,15,1,0,339,
"S01018050",57,156,78,12,4,307,
"S01018051",100,135,38,4,0,277,
"S01018052",233,177,46,2,0,458,
"S01018053",127,160,64,11,2,364,
"S01018054",161,260,73,6,6,507,
"S01018055",68,158,92,19,5,342,
"S01018056",49,105,39,5,1,204,
"S01018057",71,114,62,18,1,266,
"S01018058",22,59,68,14,2,165,
"S01018059",22,87,124,34,9,273,
"S01018060",244,190,45,15,2,496,
"S01018061",271,174,33,6,1,486,
"S01018062",112,92,24,8,1,232,
"S01018063",234,155,46,11,3,443,
"S01018064",228,197,48,4,3,481,
"S01018065",165,75,17,0,0,254,
"S01018066",324,150,20,2,1,499,
"S01018067",226,76,7,3,0,312,
"S01018068",297,177,32,6,5,514,
"S01018069",184,84,24,7,2,305,
"S01018070",98,152,45,5,1,308,
"S01018071",72,79,30,0,3,183,
"S01018072",179,158,45,7,1,390,
"S01018073",141,176,40,3,4,367,
"S01018074",67,108,44,15,3,233,
"S01018075",31,82,77,12,3,207,
"S01018076",149,136,45,11,7,346,
"S01018077",102,106,36,2,0,252,
"S01018078",142,164,90,14,4,414,
"S01018079",230,161,55,8,1,455,
"S01018080",160,105,38,4,4,311,
"S01018081",113,196,46,9,4,372,
"S01018082",20,111,97,13,5,246,
"S01018083",109,154,121,21,6,412,
"S01018084",6,83,88,13,7,197,
"S01018085",95,130,63,14,5,307,
"S01018086",43,140,80,13,0,272,
"S01018087",137,77,25,2,1,240,
"S01018088",229,123,21,0,0,373,
"S01018089",196,119,38,8,2,359,
"S01018090",81,164,92,21,6,364,
"S01018091",45,94,69,17,0,228,
"S01018092",36,116,82,21,4,259,
"S01018093",153,167,71,9,7,407,
"S01018094",117,132,56,9,2,315,
"S01018095",92,152,54,10,5,317,
"S01018096",83,70,25,3,0,186,
"S01018097",85,114,45,10,3,257,
"S01018098",173,147,53,14,2,389,
"S01018099",154,150,62,15,4,385,
"S01018100",83,99,41,18,1,242,
"S01018101",130,118,53,12,2,314,
"S01018102",141,136,72,18,7,373,
"S01018103",90,104,47,11,1,253,
"S01018104",85,123,58,15,1,285,
"S01018105",83,95,51,13,5,254,
"S01018106",15,128,163,36,28,364,
"S01018107",25,193,174,34,7,433,
"S01018108",71,136,100,15,9,333,
"S01018109",16,84,102,25,8,238,
"S01018110",8,100,123,18,10,259,
"S01018111",45,206,136,26,10,423,
"S01018112",84,138,80,16,3,325,
"S01018113",155,168,56,10,3,390,
"S01018114",69,159,84,15,7,333,
"S01018115",135,161,69,7,9,379,
"S01018116",27,92,61,17,3,197,
"S01018117",30,136,76,22,2,265,
"S01018118",28,152,103,32,5,320,
"S01018119",27,115,98,21,5,265,
"S01018120",59,126,53,7,8,250,
"S01018121",109,121,42,12,1,285,
"S01018122",61,115,50,13,2,239,
"S01018123",111,171,69,18,13,385,
"S01018124",57,111,53,10,2,230,
"S01018125",76,128,63,8,1,279,
"S01018126",26,152,118,35,7,341,
"S01018127",83,167,87,19,4,355,
"S01018128",48,145,74,11,6,284,
"S01018129",31,78,67,16,4,196,
"S01018130",43,99,65,13,5,225,
"S01018131",17,117,70,21,4,226,
"S01018132",5,82,125,17,7,236,
"S01018133",22,135,95,14,9,275,
"S01018134",17,103,100,11,3,234,
"S01018135",27,103,94,16,6,246,
"S01018136",29,118,81,17,2,251,
"S01018137",25,148,116,26,2,317,
"S01018138",25,112,73,14,7,230,
"S01018139",32,126,58,6,4,226,
"S01018140",59,149,82,12,5,307,
"S01018141",13,69,41,12,4,140,
"S01018142",58,162,106,19,9,358,
"S01018143",45,136,62,13,4,262,
"S01018144",104,183,33,7,4,330,
"S01018145",76,161,97,34,10,376,
"S01018146",47,162,71,15,1,295,
"S01018147",83,95,26,11,3,214,
"S01018148",80,152,70,15,3,319,
"S01018149",91,137,63,13,4,305,
"S01018150",55,150,78,13,5,302,
"S01018151",86,166,69,20,4,345,
"S01018152",110,200,110,29,16,469,
"S01018153",37,181,140,37,13,409,
"S01018154",85,150,74,15,1,329,
"S01018155",42,100,49,6,3,200,
"S01018156",90,143,77,9,5,323,
"S01018157",58,81,37,10,3,186,
"S01018158",49,91,43,15,2,206,
"S01018159",76,127,82,10,2,300,
"S01018160",114,151,62,17,7,347,
"S01018161",71,168,89,15,6,348,
"S01018162",118,141,60,21,5,345,
"S01018163",101,165,65,9,7,346,
"S01018164",49,178,170,33,17,451,
"S01018165",88,183,87,14,3,375,
"S01018166",42,155,73,26,5,301,
"S01018167",25,182,154,22,12,396,
"S01018168",60,151,82,16,7,316,
"S01018169",26,126,125,19,9,305,
"S01018170",16,114,88,15,7,244,
"S01018171",6,96,107,14,5,230,
"S01018172",22,138,95,8,2,267,
"S01018173",41,107,75,14,2,242,
"S01018174",4,75,81,15,7,182,
"S01018175",11,71,91,40,8,218,
"S01018176",13,71,92,19,7,208,
"S01018177",9,110,140,25,8,291,
"S01018178",2,60,85,32,8,188,
"S01018179",33,102,90,14,11,250,
"S01018180",12,100,85,18,6,221,
"S01018181",6,75,62,16,8,167,
"S01018182",16,95,75,18,7,204,
"S01018183",26,141,98,15,6,290,
"S01018184",32,110,72,11,2,231,
"S01018185",26,117,105,26,7,285,
"S01018186",21,126,125,19,22,313,
"S01018187",108,207,116,23,10,470,
"S01018188",11,91,100,15,2,222,
"S01018189",31,130,112,24,10,307,
"S01018190",27,138,103,16,0,286,
"S01018191",30,173,87,13,8,311,
"S01018192",78,113,71,6,9,274,
"S01018193",85,125,70,19,6,305,
"S01018194",48,131,84,15,3,278,
"S01018195",37,124,89,19,7,276,
"S01018196",129,159,54,7,3,352,
"S01018197",22,119,138,13,3,294,
"S01018198",27,122,123,13,0,285,
"S01018199",84,157,76,21,2,337,
"S01018200",64,121,72,16,5,278,
"S01018201",95,170,88,10,2,365,
"S01018202",70,82,41,7,5,207,
"S01018203",178,135,25,3,0,339,
"S01018204",223,146,44,13,2,427,
"S01018205",137,132,50,4,0,319,
"S01018206",104,183,73,17,7,384,
"S01018207",85,166,88,19,6,364,
"S01018208",59,91,37,8,2,192,
"S01018209",23,83,114,25,12,253,
"S01018210",38,128,135,20,6,327,
"S01018211",19,115,135,48,14,331,
"S01018212",33,113,98,20,10,271,
"S01018213",51,170,120,21,1,365,
"S01018214",4,76,117,31,8,236,
"S01018215",30,108,117,28,10,301,
"S01018216",13,82,90,17,4,206,
"S01018217",6,126,138,29,16,313,
"S01018218",71,143,102,25,10,347,
"S01018219",80,91,60,15,1,245,
"S01018220",89,157,87,28,6,367,
"S01018221",91,129,61,18,4,301,
"S01018222",68,136,54,13,2,274,
"S01018223",55,122,40,12,3,234,
"S01018224",174,173,62,13,6,428,
"S01018225",127,192,70,21,4,414,
"S01018226",68,126,56,11,8,269,
"S01018227",64,159,103,30,6,361,
"S01018228",92,214,87,13,4,413,
"S01018229",79,166,81,16,0,344,
"S01018230",58,135,66,11,6,276,
"S01018231",114,141,57,11,5,329,
"S01018232",74,96,63,11,4,251,
"S01018233",63,129,65,16,11,288,
"S01018234",86,117,46,10,5,264,
"S01018235",42,145,90,23,4,303,
"S01018236",101,184,67,16,8,373,
"S01018237",44,109,85,18,7,260,
"S01018238",80,150,83,17,3,337,
"S01018239",68,138,57,24,3,290,
"S01018240",60,91,54,18,7,230,
"S01018241",59,135,102,21,11,328,
"S01018242",77,151,72,25,8,335,
"S01018243",89,139,53,17,10,309,
"S01018244",37,166,116,40,15,371,
"S01018245",11,91,82,31,10,225,
"S01018246",15,115,119,35,17,300,
"S01018247",80,166,76,27,14,363,
"S01018248",64,186,104,29,12,395,
"S01018249",93,209,132,28,15,477,
"S01018250",7,122,136,49,11,328,
"S01018251",7,65,78,32,17,199,
"S01018252",66,135,54,16,8,283,
"S01018253",67,135,53,26,9,287,
"S01018254",30,107,75,27,8,244,
"S01018255",8,84,86,24,18,224,
"S01018256",20,91,109,33,26,279,
"S01018257",22,100,81,28,13,248,
"S01018258",16,76,99,50,26,269,
"S01018259",16,101,97,34,19,268,
"S01018260",94,169,86,24,8,381,
"S01018261",118,249,79,12,7,468,
"S01018262",95,190,104,34,22,441,
"S01018263",124,226,116,22,9,497,
"S01018264",93,246,121,33,10,503,
"S01018265",17,83,91,30,15,236,
"S01018266",47,138,92,24,1,305,
"S01018267",64,143,76,18,6,307,
"S01018268",33,118,50,25,2,226,
"S01018269",28,111,72,10,6,227,
"S01018270",32,120,61,16,0,231,
"S01018271",28,152,67,21,4,276,
"S01018272",17,74,95,37,10,233,
"S01018273",25,96,60,12,5,198,
"S01018274",24,78,56,15,4,182,
"S01018275",58,159,86,14,7,324,
"S01018276",80,140,59,19,3,293,
"S01018277",106,176,66,17,7,373,
"S01018278",114,191,49,10,1,365,
"S01018279",41,83,36,4,2,165,
"S01018280",21,126,92,11,3,255,
"S01018281",40,144,81,13,8,290,
"S01018282",22,104,69,24,6,225,
"S01018283",90,254,109,29,9,493,
"S01018284",84,251,103,22,13,473,
"S01018285",73,170,72,21,5,344,
"S01018286",86,103,35,4,2,228,
"S01018287",57,173,103,22,4,359,
"S01018288",14,131,118,49,15,327,
"S01018289",23,177,146,31,10,387,
"S01018290",33,120,77,19,2,256,
"S01018291",43,120,76,16,7,263,
"S01018292",23,124,186,58,19,411,
"S01018293",89,219,149,30,10,498,
"S01018294",70,190,94,17,3,374,
"S01018295",15,102,116,33,22,291,
"S01018296",8,92,119,42,13,275,
"S01018297",6,71,127,38,16,258,
"S01018298",5,74,114,33,16,242,
"S01018299",14,88,112,38,22,270,
"S01018300",11,87,82,19,17,217,
"S01018301",51,169,106,20,4,350,
"S01018302",95,172,75,16,7,365,
"S01018303",42,91,53,12,3,205,
"S01018304",72,108,43,10,2,233,
"S01018305",72,116,33,8,2,231,
"S01018306",91,136,31,7,0,265,
"S01018307",98,102,27,7,0,238,
"S01018308",93,135,49,6,7,288,
"S01018309",123,279,57,12,2,473,
"S01018310",75,191,81,13,8,367,
"S01018311",23,149,141,31,4,349,
"S01018312",56,99,85,11,2,252,
"S01018313",80,203,119,28,10,437,
"S01018314",89,159,89,21,4,362,
"S01018315",39,154,57,12,3,268,
"S01018316",106,153,45,6,2,312,
"S01018317",138,177,54,12,4,388,
"S01018318",35,170,161,18,1,385,
"S01018319",9,76,89,22,8,207,
"S01018320",111,198,83,22,12,423,
"S01018321",28,170,113,26,5,340,
"S01018322",99,132,78,12,5,326,
"S01018323",74,175,73,16,3,341,
"S01018324",61,195,86,16,4,366,
"S01018325",92,202,122,17,5,438,
"S01018326",52,199,129,27,9,426,
"S01018327",37,94,111,31,16,291,
"S01018328",185,140,34,1,0,364,
"S01018329",86,127,68,12,3,297,
"S01018330",120,254,117,32,5,528,
"S01018331",71,205,106,21,9,412,
"S01018332",68,95,45,1,2,218,
"S01018333",0,64,95,19,5,183,
"S01018334",27,84,88,8,4,211,
"S01018335",41,75,50,6,4,179,
"S01018336",5,59,68,5,1,134,
"S01018337",107,161,88,13,1,374,
"S01018338",17,139,140,29,14,335,
"S01018339",95,123,66,6,0,295,
"S01018340",52,155,81,13,6,308,
"S01018341",45,165,106,25,13,354,
"S01018342",39,84,51,12,0,187,
"S01018343",90,193,89,18,11,404,
"S01018344",81,194,74,25,5,379,
"S01018345",39,153,66,13,3,274,
"S01018346",22,95,46,13,4,180,
"S01018347",56,122,56,13,2,249,
"S01018348",14,144,91,20,6,272,
"S01018349",51,131,77,10,6,277,
"S01018350",47,122,49,9,6,228,
"S01018351",14,126,122,34,6,308,
"S01018352",54,210,145,31,17,460,
"S01018353",34,105,90,20,7,254,
"S01018354",10,83,92,27,13,223,
"S01018355",46,179,90,25,6,346,
"S01018356",71,255,135,38,17,519,
"S01018357",35,166,143,38,20,398,
"S01018358",13,80,70,16,11,191,
"S01018359",16,126,93,13,9,257,
"S01018360",34,109,59,7,5,212,
"S01018361",109,205,61,11,1,387,
"S01018362",128,132,39,7,1,307,
"S01018363",116,158,50,17,7,348,
"S01018364",22,128,69,13,11,243,
"S01018365",38,149,81,11,6,280,
"S01018366",18,106,84,23,2,235,
"S01018367",132,158,50,6,4,350,
"S01018368",65,157,91,14,4,331,
"S01018369",52,135,60,17,2,266,
"S01018370",48,116,60,13,5,238,
"S01018371",100,164,54,17,0,336,
"S01018372",49,143,87,15,5,293,
"S01018373",111,192,44,13,4,364,
"S01018374",33,158,102,18,4,316,
"S01018375",30,110,107,20,10,278,
"S01018376",28,154,162,32,4,377,
"S01018377",90,208,110,25,10,443,
"S01018378",21,98,141,54,14,331,
"S01018379",11,100,104,35,23,273,
"S01018380",10,67,66,26,12,184,
"S01018381",34,192,193,46,17,480,
"S01018382",64,151,104,22,3,341,
"S01018383",46,97,93,19,9,264,
"S01018384",57,106,69,17,6,256,
"S01018385",55,118,65,23,5,262,
"S01018386",37,154,118,35,19,359,
"S01018387",39,92,61,19,7,215,
"S01018388",66,164,103,25,6,361,
"S01018389",42,150,89,25,6,309,
"S01018390",65,228,159,36,14,502,
"S01018391",61,175,128,35,15,419,
"S01018392",111,208,136,25,8,487,
"S01018393",59,221,121,35,16,452,
"S01018394",77,185,154,42,6,461,
"S01018395",41,169,91,25,8,334,
"S01018396",52,192,121,37,18,416,
"S01018397",44,175,108,28,10,373,
"S01018398",33,74,70,27,12,216,
"S01018399",38,103,63,25,4,235,
"S01018400",48,125,79,15,7,274,
"S01018401",57,146,88,42,12,344,
"S01018402",32,133,92,26,10,296,
"S01018403",37,112,82,32,15,277,
"S01018404",28,91,103,31,10,263,
"S01018405",39,147,98,32,10,327,
"S01018406",57,150,113,39,17,377,
"S01018407",87,177,112,36,22,428,
"S01018408",96,111,54,7,4,272,
"S01018409",146,156,48,7,1,358,
"S01018410",199,236,83,17,5,538,
"S01018411",98,173,86,22,6,383,
"S01018412",82,133,61,7,5,291,
"S01018413",88,184,72,14,5,364,
"S01018414",97,142,75,17,4,338,
"S01018415",58,198,97,28,19,400,
"S01018416",47,140,108,28,9,336,
"S01018417",50,142,109,31,6,341,
"S01018418",29,122,76,18,8,249,
"S01018419",33,145,99,21,9,306,
"S01018420",40,145,71,20,5,276,
"S01018421",52,180,108,24,12,376,
"S01018422",32,111,96,20,3,257,
"S01018423",91,138,59,15,5,308,
"S01018424",43,148,71,18,6,282,
"S01018425",87,233,98,20,10,450,
"S01018426",28,102,78,28,6,238,
"S01018427",81,113,61,6,5,266,
"S01018428",120,122,39,16,5,302,
"S01018429",14,135,113,37,23,320,
"S01018430",26,70,66,19,7,188,
"S01018431",45,192,168,38,10,456,
"S01018432",57,139,74,21,2,294,
"S01018433",141,177,105,31,4,462,
"S01018434",42,139,94,17,6,294,
"S01018435",131,201,85,16,10,435,
"S01018436",83,150,91,24,7,351,
"S01018437",97,125,39,13,5,279,
"S01018438",69,92,59,8,3,231,
"S01018439",57,143,62,15,5,282,
"S01018440",110,118,48,20,1,297,
"S01018441",83,135,50,11,2,281,
"S01018442",85,139,66,14,4,312,
"S01018443",145,157,83,9,1,393,
"S01018444",108,156,72,14,4,348,
"S01018445",80,123,59,9,5,274,
"S01018446",117,207,141,15,3,483,
"S01018447",79,181,79,10,8,359,
"S01018448",63,135,73,11,4,288,
"S01018449",100,199,74,17,4,392,
"S01018450",91,167,89,10,5,362,
"S01018451",30,98,84,13,8,235,
"S01018452",13,56,132,25,7,233,
"S01018453",28,108,96,24,6,262,
"S01018454",82,136,86,20,5,329,
"S01018455",39,116,112,18,5,283,
"S01018456",84,133,90,13,7,330,
"S01018457",28,146,191,38,23,425,
"S01018458",19,97,92,31,6,253,
"S01018459",62,104,39,7,4,212,
"S01018460",24,103,90,16,1,233,
"S01018461",93,150,64,15,1,326,
"S01018462",106,137,62,9,2,316,
"S01018463",98,79,27,11,2,217,
"S01018464",120,104,24,5,1,253,
"S01018465",149,166,47,14,9,384,
"S01018466",165,186,74,17,1,445,
"S01018467",133,120,51,15,4,323,
"S01018468",164,159,75,10,2,412,
"S01018469",152,176,85,19,5,436,
"S01018470",120,158,67,14,4,360,
"S01018471",100,168,68,15,6,357,
"S01018472",137,140,48,9,4,343,
"S01018473",125,159,50,10,1,340,
"S01018474",125,193,124,31,10,485,
"S01018475",150,173,50,13,7,393,
"S01018476",214,195,53,13,2,475,
"S01018477",164,117,24,2,2,312,
"S01018478",142,106,31,11,4,292,
"S01018479",132,109,40,7,2,290,
"S01018480",170,231,54,12,1,468,
"S01018481",18,73,166,26,4,287,
"S01018482",101,122,55,4,1,281,
"S01018483",130,154,52,23,1,358,
"S01018484",142,140,42,15,7,346,
"S01018485",109,159,53,8,3,335,
"S01018486",138,128,19,8,3,290,
"S01018487",209,177,26,7,1,420,
"S01018488",220,175,38,4,0,441,
"S01018489",192,189,82,18,6,486,
"S01018490",140,168,89,29,3,429,
"S01018491",271,159,38,8,0,477,
"S01018492",205,138,25,9,0,377,
"S01018493",167,176,55,12,1,412,
"S01018494",195,286,103,17,2,601,
"S01018495",44,178,100,25,15,366,
"S01018496",52,154,84,20,9,320,
"S01018497",33,134,101,26,9,307,
"S01018498",145,193,77,18,2,439,
"S01018499",144,196,61,13,5,422,
"S01018500",124,140,59,12,3,335,
"S01018501",170,158,58,15,2,397,
"S01018502",23,156,126,37,13,355,
"S01018503",8,92,122,39,6,270,
"S01018504",5,62,76,18,8,165,
"S01018505",57,174,84,21,8,344,
"S01018506",113,164,60,16,0,347,
"S01018507",70,157,86,13,6,336,
"S01018508",118,145,91,7,5,367,
"S01018509",34,95,38,8,4,184,
"S01018510",34,100,95,16,5,252,
"S01018511",75,100,54,9,5,245,
"S01018512",86,116,43,17,3,258,
"S01018513",155,160,64,14,8,407,
"S01018514",114,142,89,21,3,369,
"S01018515",71,162,115,22,6,373,
"S01018516",175,167,70,16,3,434,
"S01018517",142,154,29,6,0,337,
"S01018518",121,135,60,8,5,329,
"S01018519",160,166,47,7,3,383,
"S01018520",106,156,56,11,3,332,
"S01018521",146,159,76,12,2,393,
"S01018522",96,112,53,9,1,271,
"S01018523",130,178,71,16,3,407,
"S01018524",37,144,83,18,2,284,
"S01018525",22,122,64,7,0,211,
"S01018526",65,150,79,19,6,317,
"S01018527",25,115,131,25,5,302,
"S01018528",18,104,72,30,8,238,
"S01018529",49,136,117,35,13,351,
